uid,originh,responh,flow_duration,fwd_pkts_tot,Label,traffic_category
u0,10.0.0.0,10.0.1.0,0.5,0,0,Benign
u1,10.0.0.1,10.0.1.1,1.5,1,1,Bruteforce
u2,10.0.0.2,10.0.1.2,2.5,2,0,Benign
u3,10.0.0.3,10.0.1.3,3.5,3,1,Bruteforce
u4,10.0.0.4,10.0.1.4,4.5,4,0,Benign
u5,10.0.0.5,10.0.1.5,5.5,5,1,Bruteforce
u6,10.0.0.6,10.0.1.6,6.5,6,0,Benign
u7,10.0.0.7,10.0.1.7,7.5,7,1,Bruteforce
u8,10.0.0.8,10.0.1.8,8.5,8,0,Benign
u9,10.0.0.9,10.0.1.9,9.5,9,1,Bruteforce
u10,10.0.0.10,10.0.1.10,10.5,10,0,Benign
u11,10.0.0.11,10.0.1.11,11.5,11,1,Bruteforce
u12,10.0.0.12,10.0.1.12,12.5,12,0,Benign
u13,10.0.0.13,10.0.1.13,13.5,13,1,Bruteforce
u14,10.0.0.14,10.0.1.14,14.5,14,0,Benign
u15,10.0.0.15,10.0.1.15,15.5,15,1,Bruteforce
u16,10.0.0.16,10.0.1.16,16.5,16,0,Benign
u17,10.0.0.17,10.0.1.17,17.5,17,1,Bruteforce
u18,10.0.0.18,10.0.1.18,18.5,18,0,Benign
u19,10.0.0.19,10.0.1.19,19.5,19,1,Bruteforce
u20,10.0.0.20,10.0.1.20,20.5,20,0,Benign
u21,10.0.0.21,10.0.1.21,21.5,21,1,Bruteforce
u22,10.0.0.22,10.0.1.22,22.5,22,0,Benign
u23,10.0.0.23,10.0.1.23,23.5,23,1,Bruteforce
u24,10.0.0.24,10.0.1.24,24.5,24,0,Benign
u25,10.0.0.25,10.0.1.25,25.5,25,1,Bruteforce
u26,10.0.0.26,10.0.1.26,26.5,26,0,Benign
u27,10.0.0.27,10.0.1.27,27.5,27,1,Bruteforce
u28,10.0.0.28,10.0.1.28,28.5,28,0,Benign
u29,10.0.0.29,10.0.1.29,29.5,29,1,Bruteforce
u30,10.0.0.30,10.0.1.30,30.5,30,0,Benign
u31,10.0.0.31,10.0.1.31,31.5,31,1,Bruteforce
u32,10.0.0.32,10.0.1.32,32.5,32,0,Benign
u33,10.0.0.33,10.0.1.33,33.5,33,1,Bruteforce
u34,10.0.0.34,10.0.1.34,34.5,34,0,Benign
u35,10.0.0.35,10.0.1.35,35.5,35,1,Bruteforce
u36,10.0.0.36,10.0.1.36,36.5,36,0,Benign
u37,10.0.0.37,10.0.1.37,37.5,37,1,Bruteforce
u38,10.0.0.38,10.0.1.38,38.5,38,0,Benign
u39,10.0.0.39,10.0.1.39,39.5,39,1,Bruteforce
