uid,originh,flow_duration,fwd_pkts_tot,Label,traffic_category
u0,10.0.0.0,0.0,0,0,Benign
u1,10.0.0.1,1.0,1,0,Benign
u2,10.0.0.2,2.0,2,0,Benign
u3,10.0.0.3,3.0,3,0,Benign
u4,10.0.0.4,4.0,4,0,Benign
u5,10.0.0.5,5.0,5,0,Benign
u6,10.0.0.6,6.0,6,0,Benign
u7,10.0.0.7,7.0,7,0,Benign
u8,10.0.0.8,8.0,8,0,Benign
u9,10.0.0.9,9.0,9,0,Benign
u10,10.0.0.10,10.0,10,0,Benign
u11,10.0.0.11,11.0,11,0,Benign
u12,10.0.0.12,12.0,12,0,Benign
u13,10.0.0.13,13.0,13,0,Benign
u14,10.0.0.14,14.0,14,0,Benign
u15,10.0.0.15,15.0,15,0,Benign
u16,10.0.0.16,16.0,16,0,Benign
u17,10.0.0.17,17.0,17,0,Benign
u18,10.0.0.18,18.0,18,0,Benign
u19,10.0.0.19,19.0,19,0,Benign
u20,10.0.0.20,20.0,20,0,Benign
u21,10.0.0.21,21.0,21,0,Benign
u22,10.0.0.22,22.0,22,0,Benign
u23,10.0.0.23,23.0,23,0,Benign
u24,10.0.0.24,24.0,24,0,Benign
u25,10.0.0.25,25.0,25,0,Benign
u26,10.0.0.26,26.0,26,0,Benign
u27,10.0.0.27,27.0,27,0,Benign
u28,10.0.0.28,28.0,28,0,Benign
u29,10.0.0.29,29.0,29,0,Benign
