uid,originh,flow_duration,fwd_pkts_tot,Label,traffic_category
u0,10.0.0.0,sangat_lama,banyak,0,Benign
u1,10.0.0.1,sangat_lama,banyak,1,Bruteforce
u2,10.0.0.2,sangat_lama,banyak,0,Benign
u3,10.0.0.3,sangat_lama,banyak,1,Bruteforce
u4,10.0.0.4,sangat_lama,banyak,0,Benign
u5,10.0.0.5,sangat_lama,banyak,1,Bruteforce
u6,10.0.0.6,sangat_lama,banyak,0,Benign
u7,10.0.0.7,sangat_lama,banyak,1,Bruteforce
u8,10.0.0.8,sangat_lama,banyak,0,Benign
u9,10.0.0.9,sangat_lama,banyak,1,Bruteforce
u10,10.0.0.10,sangat_lama,banyak,0,Benign
u11,10.0.0.11,sangat_lama,banyak,1,Bruteforce
u12,10.0.0.12,sangat_lama,banyak,0,Benign
u13,10.0.0.13,sangat_lama,banyak,1,Bruteforce
u14,10.0.0.14,sangat_lama,banyak,0,Benign
u15,10.0.0.15,sangat_lama,banyak,1,Bruteforce
u16,10.0.0.16,sangat_lama,banyak,0,Benign
u17,10.0.0.17,sangat_lama,banyak,1,Bruteforce
u18,10.0.0.18,sangat_lama,banyak,0,Benign
u19,10.0.0.19,sangat_lama,banyak,1,Bruteforce
u20,10.0.0.20,sangat_lama,banyak,0,Benign
u21,10.0.0.21,sangat_lama,banyak,1,Bruteforce
u22,10.0.0.22,sangat_lama,banyak,0,Benign
u23,10.0.0.23,sangat_lama,banyak,1,Bruteforce
u24,10.0.0.24,sangat_lama,banyak,0,Benign
u25,10.0.0.25,sangat_lama,banyak,1,Bruteforce
u26,10.0.0.26,sangat_lama,banyak,0,Benign
u27,10.0.0.27,sangat_lama,banyak,1,Bruteforce
u28,10.0.0.28,sangat_lama,banyak,0,Benign
u29,10.0.0.29,sangat_lama,banyak,1,Bruteforce
