application,dest_port,count
dns,53,124168
dns,80,1241
dns,5782,7
dns,511,7
dns,21161,6
dns,5560,6
dns,22129,6
dns,26603,6
dns,11785,6
dns,31200,6
dns,36384,6
dns,33578,5
dns,56247,5
dns,50648,5
dns,63452,5
dns,39401,5
dns,42810,5
dns,63407,5
dns,20236,5
dns,23909,5
dns,64144,5
dns,32443,5
dns,32049,5
dns,45668,5
dns,63478,5
dns,37942,5
dns,38861,5
dns,3849,5
dns,27172,5
dns,34664,5
http,80,13279
http,60000,7
http,40499,4
http,40515,3
http,53332,2
http,55208,2
http,51486,2
http,7365,2
http,7812,2
http,54916,2
http,58561,2
http,50914,2
http,59108,2
http,60412,2
http,57157,2
http,55210,2
http,49900,1
http,54126,1
http,43800,1
http,58540,1
http,62357,1
http,41070,1
http,50060,1
http,14249,1
http,63239,1
http,49899,1
http,51794,1
http,50639,1
http,18385,1
http,24025,1
tls,443,62178
tls,853,59
tls,22,55
tls,40499,4
tls,49490,4
tls,40515,4
tls,61325,2
tls,4083,2
tls,60378,2
tls,33523,2
tls,52682,2
tls,49906,2
tls,54805,2
tls,60545,2
tls,57497,2
tls,64292,2
tls,56362,2
tls,58122,2
tls,49519,2
tls,55412,2
tls,59080,2
tls,63516,2
tls,63830,2
tls,53134,2
tls,65204,2
tls,55468,2
tls,49646,2
tls,62052,2
tls,7687,2
tls,44230,2
ssh,40404,19
ssh,53654,3
ssh,47048,3
ssh,48804,3
ssh,37604,3
ssh,49728,2
ssh,59854,2
ssh,43412,2
ssh,34378,2
ssh,56823,2
ssh,58200,2
ssh,58856,2
ssh,48132,2
ssh,59546,2
ssh,38174,2
ssh,54684,2
ssh,56496,2
ssh,56807,2
ssh,60546,2
ssh,32806,2
ssh,57102,2
ssh,44150,2
ssh,37558,2
ssh,38390,2
ssh,33350,2
ssh,33560,2
ssh,54994,2
ssh,56583,2
ssh,40126,2
ssh,41634,2
