timestamp,src_ip,dest_ip,src_port,dest_port,proto,event_type,app_proto,flow_id,pkt_src,has_flow,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,duration,total_pkts,total_bytes,has_alert,alert_category,alert_severity,alert_signature,alert_signature_id,label_evidence_alert,label_evidence_compromised_ip,label_status,label_reason,Target_prelim,application,app_filter_reason
2025-07-19T23:02:26.190166+0700,103.195.142.250,43.174.229.96,33735,80,TCP,flow,,1034544921691639,,1,7,0,957,0,1.0,7,957,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.190474+0700,103.195.142.250,43.174.229.96,33749,80,TCP,flow,,1155375261534199,,1,7,0,995,0,0.0,7,995,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.190492+0700,103.195.142.250,43.174.229.96,33720,80,TCP,flow,,909963455279299,,1,10,0,2216,0,1.0,10,2216,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.190971+0700,103.195.142.250,43.174.229.96,33756,80,TCP,flow,,1372525738831226,,1,7,0,1007,0,0.0,7,1007,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.190747+0700,103.195.142.250,155.102.161.100,49886,80,TCP,flow,,501537079933626,,1,6,0,2330,0,1.0,6,2330,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.191089+0700,103.195.142.250,43.174.229.96,33744,80,TCP,flow,,1404990366209856,,1,7,0,942,0,0.0,7,942,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.191156+0700,103.195.142.213,146.190.90.244,80,49900,TCP,flow,,410542569640418,,1,5,0,710,0,0.0,5,710,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.191155+0700,103.195.142.250,43.174.229.96,33731,80,TCP,flow,,872364999370507,,1,7,0,993,0,0.0,7,993,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.191119+0700,103.195.142.250,43.174.229.96,33728,80,TCP,flow,,1107129764010488,,1,7,0,981,0,0.0,7,981,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.191484+0700,103.195.142.213,146.190.90.244,80,54126,TCP,flow,,739185088680577,,1,5,0,710,0,0.0,5,710,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.191893+0700,103.195.142.17,188.239.15.45,80,43800,TCP,flow,,1186143045705913,,1,10,0,7585,0,6.0,10,7585,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.191885+0700,103.195.142.250,155.102.161.100,49888,80,TCP,flow,,335846277299192,,1,8,0,3308,0,2.0,8,3308,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.192031+0700,103.195.142.250,60.205.37.17,47183,80,TCP,flow,,303608423708280,,1,12,0,3373,0,2.0,12,3373,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.192074+0700,103.195.142.31,17.253.61.196,51399,80,TCP,flow,,1149856995666390,,1,6,0,540,0,0.0,6,540,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.192129+0700,103.195.142.250,43.174.229.96,33712,80,TCP,flow,,621217268355637,,1,7,0,1000,0,0.0,7,1000,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.192091+0700,103.195.142.250,43.174.229.96,33746,80,TCP,flow,,1279150987412660,,1,7,0,938,0,0.0,7,938,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.192180+0700,103.195.142.239,23.195.104.184,57829,80,TCP,flow,,985495058967528,,1,6,0,471,0,0.0,6,471,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.192243+0700,103.195.142.250,60.205.37.17,46886,80,TCP,flow,,433952325830548,,1,15,0,4442,0,18.0,15,4442,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.192329+0700,103.195.142.250,43.174.229.96,33694,80,TCP,flow,,596107462239596,,1,7,0,974,0,0.0,7,974,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.192820+0700,103.195.142.239,54.169.4.174,61137,80,TCP,flow,,239545901802231,,1,3,0,190,0,27.0,3,190,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.192964+0700,103.195.142.213,146.190.90.244,80,58540,TCP,flow,,306690048353979,,1,5,0,717,0,1.0,5,717,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.194331+0700,103.195.142.213,146.190.90.244,80,62357,TCP,flow,,127551479646428,,1,5,0,713,0,1.0,5,713,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.194607+0700,103.195.142.25,202.52.146.212,80,41070,TCP,flow,,434882294288515,,1,6,0,917,0,0.0,6,917,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.195191+0700,103.195.142.213,146.190.90.244,80,50060,TCP,flow,,816060591483640,,1,5,0,713,0,1.0,5,713,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
2025-07-19T23:02:26.055141+0700,103.195.142.239,92.223.88.7,64729,80,TCP,alert,,544938642283237,wire/pcap,1,5,0,452,0,0.0,5,452,1,Generic Protocol Command Decode,3,SURICATA STREAM Packet with invalid ack,2210045,1,0,malicious_evidence,valid_alert,1,http,port
2025-07-19T23:02:26.055141+0700,103.195.142.239,92.223.88.7,64729,80,TCP,alert,,544938642283237,wire/pcap,1,5,0,452,0,0.0,5,452,1,Generic Protocol Command Decode,3,SURICATA STREAM SHUTDOWN RST invalid ack,2210046,1,0,malicious_evidence,valid_alert,1,http,port
2025-07-19T23:02:26.443007+0700,103.185.193.21,164.90.223.65,80,14249,TCP,flow,,892964350373398,,1,5,0,345,0,1.0,5,345,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,http,port
