timestamp,src_ip,dest_ip,src_port,dest_port,proto,event_type,app_proto,flow_id,pkt_src,has_flow,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,duration,total_pkts,total_bytes,has_alert,alert_category,alert_severity,alert_signature,alert_signature_id,label_evidence_alert,label_evidence_compromised_ip,label_status,label_reason,Target_prelim,application,app_filter_reason
2025-07-19T23:02:26.189984+0700,103.195.142.239,17.23.112.11,56572,443,TCP,flow,,281902574514039,,1,18,0,5857,0,1.0,18,5857,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,tls,port
2025-07-19T23:02:26.190023+0700,103.195.142.239,23.195.104.19,43856,443,TCP,flow,,414685495080985,,1,83,0,7443,0,18.0,83,7443,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,tls,port
2025-07-19T23:02:26.190043+0700,103.195.142.31,172.217.194.95,37844,443,TCP,flow,,374631597126393,,1,12,0,3037,0,1.0,12,3037,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,tls,port
2025-07-19T23:02:26.190085+0700,103.195.142.31,118.98.116.147,57434,443,TCP,flow,,807826756447265,,1,271,0,19647,0,0.0,271,19647,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,tls,port
2025-07-19T23:02:26.190200+0700,103.195.142.239,64.233.170.95,43140,443,TCP,flow,,903919039983856,,1,1476,0,406797,0,857.0,1476,406797,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,tls,port
2025-07-19T23:02:25.460640+0700,103.195.142.239,172.217.194.95,45582,443,TCP,flow,,684154059534637,,1,32,0,5934,0,0.0,32,5934,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,tls,port
2025-07-19T23:02:26.190301+0700,103.195.142.239,146.112.41.2,58738,443,TCP,flow,,1616703479329682,,1,16,0,3521,0,14.0,16,3521,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,tls,port
2025-07-19T23:02:26.190412+0700,103.195.142.239,57.144.152.141,46360,443,TCP,flow,,2238750133371638,,1,12,0,2173,0,19.0,12,2173,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,tls,port
2025-07-19T23:02:26.190003+0700,103.195.142.250,203.175.8.54,36944,443,TCP,flow,,1645689011420719,,1,5,0,370,0,15.0,5,370,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,tls,port
2025-07-19T23:02:26.190434+0700,103.195.142.239,71.18.170.242,51254,443,TCP,flow,,1486638323248980,,1,62,0,60855,0,47.0,62,60855,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,tls,port
2025-07-19T23:02:26.190230+0700,103.195.142.239,34.160.231.76,59415,443,TCP,flow,,1097012031636406,,1,114,0,58333,0,137.0,114,58333,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,tls,port
2025-07-19T23:02:26.190225+0700,103.195.142.239,143.92.73.101,46382,443,TCP,flow,,1065113632812080,,1,17,0,4802,0,16.0,17,4802,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,tls,port
2025-07-19T23:02:26.190537+0700,103.195.142.31,118.98.116.147,53686,443,TCP,flow,,471388740898246,,1,67,0,5990,0,1.0,67,5990,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,tls,port
2025-07-19T23:02:26.190354+0700,103.195.142.239,23.216.158.154,59469,443,TCP,flow,,1447135967423651,,1,80,0,8994,0,23.0,80,8994,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,tls,port
2025-07-19T23:02:26.190337+0700,103.195.142.239,74.125.24.101,56653,443,TCP,flow,,1303982643131857,,1,13,0,2341,0,0.0,13,2341,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,tls,port
2025-07-19T23:02:26.190698+0700,103.195.142.31,34.117.67.69,57918,443,TCP,flow,,1000366442658460,,1,6,0,1081,0,0.0,6,1081,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,tls,port
