application,window_start,src_ip,event_count_window,unique_dest_ip_window,unique_dest_port_window,alert_count_window,target_prelim_malicious_count,total_bytes_window,total_pkts_window,bytes_per_event_window,pkts_per_event_window,probe_score,is_possible_probe,probe_reason,first_seen,last_seen
dns,2025-07-19T16:05:00Z,103.195.142.3,3020,1657,2971,0,0,506135,3093,167.59437086092714,1.0241721854304635,17.5,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:59Z
dns,2025-07-19T16:05:00Z,103.195.142.83,2876,84,2547,0,0,131634550,110617,45770.010431154384,38.46210013908206,17.5,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:58Z
dns,2025-07-19T16:05:00Z,103.195.142.76,2862,85,2523,0,0,157485593,107208,55026.41264849756,37.459119496855344,17.5,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:59Z
dns,2025-07-19T16:05:00Z,103.195.142.196,2843,85,2519,0,0,122054937,84938,42931.7400633134,29.876187126275063,17.5,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:59Z
dns,2025-07-19T16:05:00Z,103.195.142.195,2833,86,2509,0,0,110820939,77121,39117.87469114013,27.222379103423933,17.5,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:59Z
dns,2025-07-19T16:05:00Z,103.195.142.165,2829,85,2507,0,0,127046607,88411,44908.66277836692,31.251679038529517,17.5,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:59Z
dns,2025-07-19T16:05:00Z,103.195.142.109,2827,87,2509,0,0,109551743,76241,38751.94304916873,26.96887159533074,17.5,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:59Z
dns,2025-07-19T16:05:00Z,103.195.142.46,2816,84,2492,0,0,108242098,75326,38438.24502840909,26.749289772727273,17.5,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:59Z
dns,2025-07-19T16:00:00Z,103.195.142.83,2804,79,2510,0,0,6416962,5393,2288.502853067047,1.923323823109843,17.5,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:02:25Z,2025-07-19T16:04:59Z
dns,2025-07-19T16:00:00Z,103.195.142.76,2798,74,2508,0,0,7743099,5271,2767.3691922802,1.8838456040028593,17.5,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:02:26Z,2025-07-19T16:04:59Z
