application,src_ip,windows_seen,total_events,max_event_count_window,max_unique_dest_ip_window,max_unique_dest_port_window,total_alerts,max_probe_score,mean_probe_score,possible_probe_windows
dns,103.195.142.3,3,7193,3020,1657,2971,0,17.5,17.5,3
dns,103.195.142.2,3,6415,2642,1609,2611,0,17.5,17.5,3
dns,103.195.142.83,3,5836,2876,84,2547,0,17.5,15.123333333333335,3
dns,103.195.142.76,3,5816,2862,85,2523,0,17.5,15.165000000000001,3
dns,103.195.142.46,3,5677,2816,84,2492,0,17.5,15.165000000000001,3
dns,103.195.142.196,3,5659,2843,85,2519,0,17.5,15.116666666666667,3
dns,103.195.142.109,3,5651,2827,87,2509,0,17.5,15.185,3
dns,103.195.142.195,3,5646,2833,86,2509,0,17.5,15.123333333333335,3
dns,103.195.142.165,3,5618,2829,85,2507,0,17.5,15.116666666666667,3
dns,103.195.142.74,3,95230,43137,84,3,1,13.75,11.541666666666666,3
dns,103.195.142.75,3,26745,12025,82,3,1,13.75,11.375,3
dns,103.195.142.31,3,774,329,9,3,0,6.875,5.815,0
dns,103.195.142.108,3,972,446,3,3,0,6.125,5.748333333333334,0
dns,10.0.1.137,2,14,7,1,1,6,5.765000000000001,5.765000000000001,0
dns,103.185.193.21,3,261,106,8,3,0,3.87,2.9899999999999998,0
dns,103.195.142.213,3,43,28,3,3,0,1.685,1.0366666666666666,0
dns,103.195.142.238,3,22,11,5,3,0,1.595,1.0633333333333332,0
dns,103.195.142.88,1,13,13,4,2,0,1.26,1.26,0
dns,103.195.142.72,3,12,5,3,3,0,1.225,0.8300000000000001,0
dns,103.195.142.149,3,7,3,3,3,0,1.185,0.9216666666666667,0
dns,103.195.142.239,2,37,26,2,1,0,1.02,0.87,0
dns,103.195.142.237,3,12,6,2,2,0,0.87,0.7050000000000001,0
dns,103.195.142.101,1,1,1,1,1,0,0.395,0.395,0
