application,window_start,src_ip,event_count_window,unique_dest_ip_window,unique_dest_port_window,alert_count_window,target_prelim_malicious_count,total_bytes_window,total_pkts_window,bytes_per_event_window,pkts_per_event_window,probe_score,is_possible_probe,probe_reason,first_seen,last_seen
http,2025-07-19T16:05:00Z,103.195.142.239,759,250,3,58,58,25103139,326961,33073.96442687747,430.7786561264822,20.75,1,high_event_count;many_dest_ip;alert_present;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:59Z
http,2025-07-19T16:10:00Z,103.195.142.239,565,181,2,60,60,2911243,33203,5152.642477876107,58.766371681415926,20.5,1,high_event_count;many_dest_ip;alert_present;high_probe_score,2025-07-19T16:10:00Z,2025-07-19T16:13:58Z
http,2025-07-19T16:00:00Z,103.195.142.239,425,107,2,36,36,682418,7232,1605.689411764706,17.016470588235293,20.5,1,high_event_count;many_dest_ip;alert_present;high_probe_score,2025-07-19T16:02:26Z,2025-07-19T16:04:59Z
http,2025-07-19T16:05:00Z,103.195.142.238,96,62,3,12,12,152884,735,1592.5416666666667,7.65625,17.67,1,high_event_count;many_dest_ip;alert_present;high_probe_score,2025-07-19T16:05:03Z,2025-07-19T16:09:59Z
http,2025-07-19T16:10:00Z,103.195.142.238,88,56,2,8,8,2223110,32041,25262.613636363636,364.10227272727275,17.259999999999998,1,high_event_count;many_dest_ip;alert_present;high_probe_score,2025-07-19T16:10:11Z,2025-07-19T16:13:56Z
http,2025-07-19T16:05:00Z,103.195.142.17,160,92,160,0,0,33975422,23649,212346.3875,147.80625,15.7,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:01Z,2025-07-19T16:09:59Z
http,2025-07-19T16:05:00Z,103.195.142.149,71,40,5,4,4,399519,4950,5627.028169014085,69.71830985915493,14.67,1,high_event_count;many_dest_ip;many_dest_port;alert_present;high_probe_score,2025-07-19T16:05:03Z,2025-07-19T16:09:58Z
http,2025-07-19T16:10:00Z,103.195.142.17,102,72,102,0,0,20056329,13955,196630.67647058822,136.81372549019608,14.54,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:10:01Z,2025-07-19T16:13:57Z
http,2025-07-19T16:00:00Z,103.195.142.17,94,49,94,0,0,19082498,13514,203005.29787234042,143.7659574468085,14.254999999999999,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:02:26Z,2025-07-19T16:04:58Z
http,2025-07-19T16:05:00Z,103.195.142.31,180,72,3,2,2,512362,7206,2846.4555555555557,40.03333333333333,14.1,1,high_event_count;many_dest_ip;alert_present;high_probe_score,2025-07-19T16:05:01Z,2025-07-19T16:09:57Z
http,2025-07-19T16:00:00Z,103.195.142.31,117,43,1,2,2,6672326,101185,57028.42735042735,864.8290598290598,11.465,1,high_event_count;many_dest_ip;alert_present;high_probe_score,2025-07-19T16:02:26Z,2025-07-19T16:04:57Z
http,2025-07-19T16:05:00Z,103.195.142.250,6147,29,8,0,0,10477450,49029,1704.4818610704408,7.976085895558809,10.625,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:59Z
http,2025-07-19T16:10:00Z,103.195.142.31,151,66,2,0,0,215827,2267,1429.317880794702,15.013245033112582,9.77,1,high_event_count;many_dest_ip;high_probe_score,2025-07-19T16:10:01Z,2025-07-19T16:13:56Z
http,2025-07-19T16:00:00Z,103.195.142.213,124,3,124,0,0,123664,635,997.2903225806451,5.120967741935484,9.105,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:02:26Z,2025-07-19T16:04:40Z
http,2025-07-19T16:10:00Z,103.195.142.250,1687,20,4,0,0,3269882,13869,1938.2821576763486,8.221102548903378,8.5,1,high_event_count;many_dest_ip;high_probe_score,2025-07-19T16:10:00Z,2025-07-19T16:13:59Z
http,2025-07-19T16:05:00Z,103.195.142.88,137,39,3,0,0,470325,2391,3433.029197080292,17.452554744525546,8.365,1,high_event_count;many_dest_ip;high_probe_score,2025-07-19T16:05:04Z,2025-07-19T16:09:51Z
http,2025-07-19T16:00:00Z,103.195.142.250,2171,12,2,0,0,4633774,18481,2134.3961308152925,8.512666973744818,7.0,1,high_event_count;many_dest_ip;high_probe_score,2025-07-19T16:02:26Z,2025-07-19T16:04:59Z
http,2025-07-19T16:00:00Z,103.195.142.238,56,34,1,0,0,734830,8754,13121.964285714286,156.32142857142858,5.62,1,high_event_count;many_dest_ip;high_probe_score,2025-07-19T16:02:32Z,2025-07-19T16:04:45Z
http,2025-07-19T16:10:00Z,103.195.142.88,94,23,2,0,0,258622,889,2751.2978723404253,9.457446808510639,5.255,1,high_event_count;many_dest_ip;high_probe_score,2025-07-19T16:10:04Z,2025-07-19T16:13:48Z
http,2025-07-19T16:05:00Z,103.195.142.51,107,4,5,0,0,91645,763,856.4953271028037,7.130841121495327,3.89,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:05:01Z,2025-07-19T16:09:58Z
http,2025-07-19T16:00:00Z,103.195.142.88,57,12,2,0,0,28175830,59579,494312.8070175439,1045.2456140350878,3.1399999999999997,1,high_event_count;many_dest_ip;high_probe_score,2025-07-19T16:02:29Z,2025-07-19T16:04:51Z
