application,src_ip,windows_seen,total_events,max_event_count_window,max_unique_dest_ip_window,max_unique_dest_port_window,total_alerts,max_probe_score,mean_probe_score,possible_probe_windows
http,103.195.142.239,3,1749,759,250,3,154,20.75,20.583333333333332,3
http,103.195.142.238,3,240,96,62,3,20,17.67,13.516666666666666,3
http,103.195.142.17,3,356,160,92,160,0,15.7,14.831666666666665,3
http,103.195.142.31,3,448,180,72,3,4,14.1,11.778333333333334,3
http,103.195.142.250,3,10005,6147,29,8,0,10.625,8.708333333333334,3
http,103.195.142.88,3,288,137,39,3,0,8.365,5.586666666666667,3
http,103.195.142.149,3,152,71,40,5,6,14.67,8.638333333333334,1
http,103.195.142.213,3,126,124,3,124,0,9.105,3.2983333333333333,1
http,103.195.142.51,3,244,107,4,5,0,3.89,2.5850000000000004,1
http,103.195.142.3,3,104,47,31,47,0,11.065,9.818333333333333,0
http,103.195.142.193,3,93,41,23,41,0,9.945,8.453333333333333,0
http,103.195.142.237,3,39,16,3,2,24,9.945,9.76,0
http,103.195.142.46,3,74,36,22,36,0,9.719999999999999,7.576666666666665,0
http,103.185.193.21,3,52,29,12,24,0,8.08,4.18,0
http,103.185.193.23,3,41,24,8,24,0,7.355,4.6066666666666665,0
http,103.185.193.42,3,69,36,5,36,0,7.22,5.668333333333333,0
http,103.185.193.53,3,53,23,3,23,0,6.46,5.0616666666666665,0
http,103.195.142.197,3,51,20,4,20,0,5.9,5.006666666666667,0
http,103.195.142.220,1,17,17,4,17,0,5.09,5.09,0
http,103.195.142.203,3,27,13,11,13,0,4.885,3.3049999999999997,0
http,103.195.142.14,3,25,13,9,13,0,4.635,3.0,0
http,103.195.142.156,3,26,14,4,14,0,4.28,2.715,0
http,103.195.142.6,1,14,14,4,14,0,4.28,4.28,0
http,103.195.142.122,3,23,12,3,12,0,3.615,2.4450000000000003,0
http,103.195.142.5,3,23,9,8,9,0,3.4299999999999997,2.861666666666667,0
http,103.185.193.52,3,15,8,7,8,0,3.035,1.9333333333333336,0
http,103.185.193.38,3,27,10,2,10,0,2.95,2.68,0
http,103.185.193.12,3,16,8,4,8,0,2.66,1.8150000000000002,0
http,103.195.142.212,2,12,7,6,7,0,2.64,2.245,0
http,103.195.142.8,2,10,8,3,8,0,2.535,1.6,0
http,103.185.193.40,1,7,7,4,7,0,2.39,2.39,0
http,103.185.193.11,3,12,7,3,7,0,2.265,1.33,0
http,103.185.193.46,2,8,7,2,7,0,2.14,1.2675,0
http,103.195.142.171,3,10,6,2,6,0,1.87,1.0666666666666667,0
http,103.185.193.45,3,9,5,4,5,0,1.85,1.1433333333333333,0
http,103.195.142.43,1,5,5,4,5,0,1.85,1.85,0
http,10.1.2.32,3,85,35,3,3,0,1.825,1.3166666666666667,0
http,103.195.142.80,2,8,6,1,6,0,1.745,1.205,0
http,103.195.142.10,2,7,6,1,6,0,1.745,1.07,0
http,103.195.142.25,3,11,5,4,5,0,1.725,1.3650000000000002,0
http,103.195.142.123,3,11,5,3,5,0,1.725,1.3233333333333335,0
http,103.195.142.242,2,6,5,3,5,0,1.725,1.06,0
http,103.195.142.41,2,6,4,3,4,0,1.455,1.1225,0
http,103.185.193.59,2,6,4,3,4,0,1.455,1.06,0
http,103.195.142.151,2,5,4,3,4,0,1.455,0.925,0
http,103.195.142.210,3,8,4,4,3,0,1.33,0.9283333333333333,0
http,103.185.193.69,3,8,4,2,4,0,1.33,0.8866666666666667,0
http,103.195.142.83,2,7,4,2,4,0,1.33,1.195,0
http,103.195.142.74,2,6,4,2,4,0,1.33,1.06,0
http,103.195.142.126,2,6,4,2,4,0,1.33,0.9975,0
http,103.195.142.118,2,5,4,2,4,0,1.33,0.8625,0
http,103.195.142.60,2,5,4,2,4,0,1.33,0.8625,0
http,103.185.193.60,1,4,4,2,4,0,1.33,1.33,0
http,103.195.142.165,3,5,3,3,3,0,1.185,0.6583333333333333,0
http,103.185.193.49,2,5,3,3,3,0,1.185,0.925,0
http,114.4.125.6,2,4,3,3,3,0,1.185,0.79,0
http,103.195.142.72,1,5,5,4,2,0,1.1,1.1,0
http,103.185.193.75,2,6,3,2,3,0,1.06,0.9975,0
http,103.195.142.218,2,5,3,2,3,0,1.06,0.8625,0
http,103.185.193.72,3,5,3,2,3,0,1.06,0.6166666666666667,0
http,103.195.142.174,2,5,3,2,3,0,1.06,0.925,0
http,103.195.142.63,3,5,3,2,3,0,1.06,0.6166666666666667,0
http,103.195.142.216,2,5,3,2,3,0,1.06,0.8625,0
http,103.195.142.16,2,5,3,2,3,0,1.06,0.8625,0
http,103.195.142.236,2,5,3,2,3,0,1.06,0.8625,0
http,103.185.193.67,2,5,3,2,3,0,1.06,0.8625,0
http,103.185.193.34,2,5,3,2,3,0,1.06,0.8625,0
http,103.195.142.144,2,5,3,2,3,0,1.06,0.8625,0
http,103.195.142.223,2,4,3,2,3,0,1.06,0.7275,0
http,103.195.142.143,2,4,3,2,3,0,1.06,0.7275,0
http,103.195.142.194,2,4,3,2,3,0,1.06,0.7275,0
http,103.195.142.107,1,3,3,2,3,0,1.06,1.06,0
http,103.195.142.248,1,3,3,2,3,0,1.06,1.06,0
http,103.195.142.11,1,3,3,2,3,0,1.06,1.06,0
http,103.195.142.219,1,3,3,2,3,0,1.06,1.06,0
http,103.195.142.102,1,3,3,2,3,0,1.06,1.06,0
http,103.185.193.41,1,3,3,2,3,0,1.06,1.06,0
http,103.185.193.61,1,3,3,2,3,0,1.06,1.06,0
http,103.195.142.113,1,3,3,2,3,0,1.06,1.06,0
http,103.195.142.184,1,3,3,2,3,0,1.06,1.06,0
http,103.195.142.89,1,3,3,2,3,0,1.06,1.06,0
http,103.195.142.57,2,5,3,1,3,0,0.935,0.8,0
http,103.185.193.16,3,6,3,2,2,0,0.79,0.5816666666666667,0
http,103.185.193.64,2,4,2,2,2,0,0.79,0.7275,0
http,103.185.193.17,2,4,2,2,2,0,0.79,0.7275,0
http,103.195.142.221,3,4,2,2,2,0,0.79,0.5266666666666667,0
http,103.195.142.182,2,4,2,2,2,0,0.79,0.7275,0
http,103.185.193.39,2,3,2,2,2,0,0.79,0.5925,0
http,103.195.142.130,1,2,2,2,2,0,0.79,0.79,0
http,103.185.193.76,1,2,2,2,2,0,0.79,0.79,0
http,103.195.142.22,1,2,2,2,2,0,0.79,0.79,0
http,103.185.193.80,3,6,2,1,2,0,0.665,0.665,0
http,103.185.193.36,3,5,2,1,2,0,0.665,0.5750000000000001,0
http,103.185.193.58,3,5,2,1,2,0,0.665,0.5750000000000001,0
http,103.185.193.81,2,4,2,1,2,0,0.665,0.665,0
http,103.195.142.119,2,4,2,1,2,0,0.665,0.665,0
http,103.185.193.77,2,4,2,1,2,0,0.665,0.665,0
http,103.195.142.101,2,3,2,1,2,0,0.665,0.53,0
http,103.195.142.192,2,3,2,1,2,0,0.665,0.53,0
http,103.195.142.96,2,3,2,1,2,0,0.665,0.53,0
http,103.195.142.129,2,3,2,1,2,0,0.665,0.53,0
http,103.195.142.73,2,3,2,1,2,0,0.665,0.53,0
http,103.195.142.208,2,3,2,1,2,0,0.665,0.53,0
http,103.185.193.15,2,3,2,1,2,0,0.665,0.53,0
http,103.185.193.74,2,3,2,1,2,0,0.665,0.53,0
http,103.195.142.18,2,3,2,1,2,0,0.665,0.53,0
http,103.195.142.64,2,3,2,1,2,0,0.665,0.53,0
http,103.195.142.190,1,2,2,1,2,0,0.665,0.665,0
http,103.195.142.50,1,2,2,1,2,0,0.665,0.665,0
http,103.185.193.51,1,2,2,1,2,0,0.665,0.665,0
http,103.185.193.71,1,2,2,1,2,0,0.665,0.665,0
http,103.195.142.95,1,2,2,1,2,0,0.665,0.665,0
http,103.195.142.206,1,2,2,1,2,0,0.665,0.665,0
http,103.195.142.92,1,2,2,1,2,0,0.665,0.665,0
http,103.195.142.137,1,2,2,1,2,0,0.665,0.665,0
http,103.195.142.105,1,2,2,1,2,0,0.665,0.665,0
http,103.185.193.63,1,2,2,1,2,0,0.665,0.665,0
http,103.185.193.24,1,2,2,1,2,0,0.665,0.665,0
http,103.185.193.48,1,2,2,1,2,0,0.665,0.665,0
http,103.195.142.235,1,2,2,1,2,0,0.665,0.665,0
http,103.195.142.198,1,2,2,1,2,0,0.665,0.665,0
http,103.185.193.55,1,2,2,1,2,0,0.665,0.665,0
http,103.195.142.30,1,2,2,1,2,0,0.665,0.665,0
http,103.195.142.91,1,2,2,1,2,0,0.665,0.665,0
http,103.195.142.20,1,2,2,1,2,0,0.665,0.665,0
http,103.195.142.154,1,2,2,1,2,0,0.665,0.665,0
http,103.195.142.234,2,2,1,1,1,0,0.395,0.395,0
http,103.195.142.94,2,2,1,1,1,0,0.395,0.395,0
http,103.195.142.76,2,2,1,1,1,0,0.395,0.395,0
http,103.185.193.37,2,2,1,1,1,0,0.395,0.395,0
http,103.195.142.39,2,2,1,1,1,0,0.395,0.395,0
http,103.195.142.164,1,1,1,1,1,0,0.395,0.395,0
http,10.0.9.54,1,1,1,1,1,0,0.395,0.395,0
http,103.195.142.200,1,1,1,1,1,0,0.395,0.395,0
http,103.185.193.78,1,1,1,1,1,0,0.395,0.395,0
http,103.195.142.108,1,1,1,1,1,0,0.395,0.395,0
http,103.195.142.244,1,1,1,1,1,0,0.395,0.395,0
http,103.195.142.196,1,1,1,1,1,0,0.395,0.395,0
http,103.195.142.24,1,1,1,1,1,0,0.395,0.395,0
http,103.185.193.79,1,1,1,1,1,0,0.395,0.395,0
http,103.195.142.2,1,1,1,1,1,0,0.395,0.395,0
http,103.195.142.124,1,1,1,1,1,0,0.395,0.395,0
http,103.195.142.153,1,1,1,1,1,0,0.395,0.395,0
