application,window_start,src_ip,event_count_window,unique_dest_ip_window,unique_dest_port_window,alert_count_window,target_prelim_malicious_count,total_bytes_window,total_pkts_window,bytes_per_event_window,pkts_per_event_window,probe_score,is_possible_probe,probe_reason,first_seen,last_seen
ssh,2025-07-19T16:05:00Z,103.195.142.210,81,33,81,0,0,225528,1054,2784.296296296296,13.012345679012345,11.995000000000001,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:02Z,2025-07-19T16:09:54Z
ssh,2025-07-19T16:05:00Z,103.185.193.39,51,33,51,0,0,139944,670,2744.0,13.137254901960784,11.395,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:02Z,2025-07-19T16:09:56Z
ssh,2025-07-19T16:05:00Z,103.185.193.42,130,10,130,0,0,369304,1740,2840.8,13.384615384615385,10.1,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:58Z
ssh,2025-07-19T16:05:00Z,103.185.193.15,57,20,54,0,0,67674,450,1187.2631578947369,7.894736842105263,9.89,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:02Z,2025-07-19T16:09:53Z
ssh,2025-07-19T16:05:00Z,103.185.193.48,99,13,98,0,0,269181,1238,2719.0,12.505050505050505,9.855,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:02Z,2025-07-19T16:09:56Z
ssh,2025-07-19T16:05:00Z,103.195.142.144,114,9,114,0,0,350854,1635,3077.6666666666665,14.342105263157896,9.655,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:05:01Z,2025-07-19T16:09:57Z
ssh,2025-07-19T16:05:00Z,103.195.142.92,105,10,105,0,0,294602,1572,2805.733333333333,14.971428571428572,9.6,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:56Z
ssh,2025-07-19T16:05:00Z,103.195.142.119,82,12,82,0,0,221202,1017,2697.5853658536585,12.402439024390244,9.39,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:03Z,2025-07-19T16:09:57Z
ssh,2025-07-19T16:10:00Z,103.185.193.48,82,10,82,0,0,224634,1022,2739.439024390244,12.463414634146341,9.14,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:10:00Z,2025-07-19T16:13:53Z
ssh,2025-07-19T16:10:00Z,103.195.142.92,89,8,89,0,0,244446,1297,2746.5842696629215,14.573033707865168,9.030000000000001,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:10:00Z,2025-07-19T16:13:58Z
ssh,2025-07-19T16:05:00Z,103.185.193.63,68,11,68,0,0,190918,916,2807.6176470588234,13.470588235294118,8.985,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:04Z,2025-07-19T16:09:54Z
ssh,2025-07-19T16:10:00Z,103.185.193.42,105,5,105,0,0,290734,1385,2768.8952380952383,13.19047619047619,8.975,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:10:01Z,2025-07-19T16:13:57Z
ssh,2025-07-19T16:05:00Z,103.195.142.236,59,11,59,0,0,165214,804,2800.237288135593,13.627118644067796,8.805,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:05Z,2025-07-19T16:09:55Z
ssh,2025-07-19T16:05:00Z,103.195.142.198,55,11,55,0,0,139452,687,2535.490909090909,12.49090909090909,8.725,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:05Z,2025-07-19T16:09:53Z
ssh,2025-07-19T16:05:00Z,103.195.142.95,85,6,85,0,0,202436,1044,2381.6,12.282352941176471,8.7,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:05:02Z,2025-07-19T16:09:59Z
ssh,2025-07-19T16:05:00Z,103.185.193.52,52,11,52,0,0,138914,634,2671.423076923077,12.192307692307692,8.665,1,high_event_count;many_dest_ip;many_dest_port;high_probe_score,2025-07-19T16:05:03Z,2025-07-19T16:09:51Z
ssh,2025-07-19T16:05:00Z,103.195.142.43,77,6,77,0,0,190648,1019,2475.948051948052,13.233766233766234,8.54,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:08:56Z
ssh,2025-07-19T16:05:00Z,103.195.142.212,77,6,77,0,0,170646,870,2216.181818181818,11.2987012987013,8.54,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:05:02Z,2025-07-19T16:09:54Z
ssh,2025-07-19T16:10:00Z,103.195.142.244,50,8,50,0,0,135712,622,2714.24,12.44,8.25,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:10:06Z,2025-07-19T16:13:47Z
ssh,2025-07-19T16:00:00Z,103.185.193.42,69,4,69,0,0,192182,930,2785.246376811594,13.478260869565217,8.129999999999999,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:02:26Z,2025-07-19T16:04:59Z
ssh,2025-07-19T16:10:00Z,103.195.142.119,66,4,66,0,0,179420,834,2718.4848484848485,12.636363636363637,8.07,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:10:01Z,2025-07-19T16:13:57Z
ssh,2025-07-19T16:00:00Z,103.195.142.43,64,3,64,0,0,155274,830,2426.15625,12.96875,7.905,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:02:26Z,2025-07-19T16:04:57Z
ssh,2025-07-19T16:10:00Z,103.195.142.144,55,4,55,0,0,177910,801,3234.7272727272725,14.563636363636364,7.85,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:10:01Z,2025-07-19T16:13:55Z
ssh,2025-07-19T16:00:00Z,103.195.142.144,60,3,60,0,0,188178,851,3136.3,14.183333333333334,7.825,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:02:26Z,2025-07-19T16:04:56Z
ssh,2025-07-19T16:10:00Z,103.195.142.95,56,3,56,0,0,127456,674,2276.0,12.035714285714286,7.745,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:10:00Z,2025-07-19T16:13:58Z
ssh,2025-07-19T16:10:00Z,103.195.142.212,55,2,55,0,0,131322,692,2387.672727272727,12.581818181818182,7.6,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:10:04Z,2025-07-19T16:13:58Z
ssh,2025-07-19T16:00:00Z,103.195.142.92,53,2,53,0,0,144748,777,2731.0943396226417,14.660377358490566,7.5600000000000005,1,high_event_count;many_dest_port;high_probe_score,2025-07-19T16:02:29Z,2025-07-19T16:04:57Z
