application,src_ip,windows_seen,total_events,max_event_count_window,max_unique_dest_ip_window,max_unique_dest_port_window,total_alerts,max_probe_score,mean_probe_score,possible_probe_windows
ssh,103.185.193.42,3,304,130,10,130,0,10.1,9.068333333333333,3
ssh,103.195.142.144,3,229,114,9,114,0,9.655,8.443333333333333,3
ssh,103.195.142.92,3,247,105,10,105,0,9.6,8.73,3
ssh,103.185.193.48,3,224,99,13,98,0,9.855,8.91,2
ssh,103.195.142.119,3,186,82,12,82,0,9.39,8.198333333333332,2
ssh,103.195.142.95,3,177,85,6,85,0,8.7,7.888333333333333,2
ssh,103.195.142.212,3,162,77,6,77,0,8.54,7.746666666666666,2
ssh,103.195.142.43,3,145,77,6,77,0,8.54,5.925,2
ssh,103.195.142.210,3,149,81,33,81,0,11.995000000000001,10.243333333333334,1
ssh,103.185.193.39,3,119,51,33,51,0,11.395,10.126666666666667,1
ssh,103.185.193.15,3,111,57,20,54,0,9.89,7.948333333333333,1
ssh,103.185.193.63,3,149,68,11,68,0,8.985,8.16,1
ssh,103.195.142.244,3,96,50,14,50,0,8.84,6.140000000000001,1
ssh,103.195.142.236,3,137,59,11,59,0,8.805,8.121666666666668,1
ssh,103.195.142.198,3,131,55,11,55,0,8.725,7.914999999999999,1
ssh,103.185.193.52,3,119,52,11,52,0,8.665,8.084999999999999,1
ssh,103.185.193.16,3,105,45,27,45,0,10.525,9.241666666666667,0
ssh,103.185.193.34,3,76,38,23,38,0,9.885,7.881666666666668,0
ssh,103.185.193.81,3,56,30,19,30,0,9.225,6.206666666666666,0
ssh,103.195.142.94,3,56,29,18,29,0,9.08,6.331666666666666,0
ssh,103.185.193.40,3,76,31,17,31,0,8.995000000000001,7.631666666666667,0
ssh,103.195.142.6,3,70,27,17,26,0,8.915,7.508333333333333,0
ssh,103.195.142.20,3,81,35,13,35,0,8.575,7.373333333333332,0
ssh,103.195.142.11,3,58,23,18,23,0,8.46,6.928333333333335,0
ssh,103.195.142.242,3,98,46,9,46,0,8.295,7.111666666666667,0
ssh,103.195.142.5,3,43,36,10,36,0,8.22,3.661666666666667,0
ssh,103.195.142.124,3,52,24,13,24,0,8.105,5.805,0
ssh,103.185.193.75,3,118,47,7,47,0,8.065,7.62,0
ssh,103.185.193.59,3,60,23,16,23,0,7.96,7.0249999999999995,0
ssh,103.195.142.171,3,56,26,8,26,0,7.77,5.623333333333334,0
ssh,103.195.142.194,3,44,23,12,23,0,7.71,4.96,0
ssh,103.185.193.46,3,43,22,12,22,0,7.4399999999999995,4.995,0
ssh,103.185.193.55,3,36,22,12,22,0,7.4399999999999995,4.156666666666667,0
ssh,103.185.193.79,3,42,20,13,20,0,7.025,4.946666666666666,0
ssh,103.185.193.41,3,44,20,10,20,0,6.65,4.835,0
ssh,103.185.193.69,3,40,19,11,18,0,6.255,4.516666666666667,0
ssh,103.185.193.12,3,32,15,12,15,0,5.55,3.921666666666667,0
ssh,103.195.142.96,3,30,17,7,17,0,5.465,3.1999999999999997,0
ssh,103.195.142.22,3,47,18,5,18,0,5.36,4.73,0
ssh,103.195.142.113,3,34,15,10,15,0,5.3,4.06,0
ssh,103.185.193.53,3,34,15,12,15,0,5.28,4.06,0
ssh,103.195.142.74,3,30,14,11,14,0,5.155,3.6583333333333337,0
ssh,103.185.193.21,3,27,14,11,14,0,5.155,3.3049999999999997,0
ssh,103.195.142.174,3,26,17,5,17,0,5.09,2.84,0
ssh,103.185.193.45,3,22,16,6,16,0,5.07,2.396666666666667,0
ssh,103.195.142.30,3,32,14,10,14,0,5.03,3.8383333333333334,0
ssh,103.195.142.234,3,24,14,9,14,0,4.905,2.8266666666666667,0
ssh,103.185.193.17,3,24,16,4,16,0,4.82,2.6183333333333336,0
ssh,103.185.193.58,3,35,14,8,14,0,4.78,4.066666666666666,0
ssh,103.195.142.107,3,28,14,8,14,0,4.78,3.061666666666666,0
ssh,103.185.193.76,3,21,13,10,13,0,4.76,2.598333333333333,0
ssh,103.195.142.60,3,45,16,6,16,0,4.695,4.55,0
ssh,103.195.142.197,3,24,13,9,13,0,4.635,2.7016666666666667,0
ssh,103.195.142.16,3,28,14,6,14,0,4.53,2.936666666666666,0
ssh,103.185.193.49,3,23,13,8,13,0,4.51,2.7366666666666664,0
ssh,103.185.193.24,3,18,12,10,12,0,4.49,2.2866666666666666,0
ssh,103.185.193.71,3,29,11,10,11,0,4.22,3.568333333333333,0
ssh,103.195.142.193,3,25,13,5,13,0,4.135,2.7083333333333335,0
ssh,103.195.142.123,3,29,13,9,13,0,4.095,3.3183333333333334,0
ssh,103.195.142.156,3,24,11,9,11,0,4.095,2.9516666666666667,0
ssh,103.195.142.89,3,22,11,9,11,0,4.095,2.813333333333333,0
