application,window_start,src_ip,event_count_window,unique_dest_ip_window,unique_dest_port_window,alert_count_window,target_prelim_malicious_count,total_bytes_window,total_pkts_window,bytes_per_event_window,pkts_per_event_window,probe_score,is_possible_probe,probe_reason,first_seen,last_seen
tls,2025-07-19T16:05:00Z,103.195.142.213,379,85,187,82,82,34331532,30475,90584.51715039578,80.4089709762533,26.25,1,high_event_count;many_dest_ip;many_dest_port;alert_present;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:59Z
tls,2025-07-19T16:10:00Z,103.195.142.213,325,53,165,90,90,32959788,27311,101414.7323076923,84.03384615384616,26.25,1,high_event_count;many_dest_ip;many_dest_port;alert_present;high_probe_score,2025-07-19T16:10:00Z,2025-07-19T16:13:58Z
tls,2025-07-19T16:00:00Z,103.195.142.213,306,39,204,34,34,9954761,9625,32531.898692810457,31.454248366013072,24.875,1,high_event_count;many_dest_ip;many_dest_port;alert_present;high_probe_score,2025-07-19T16:02:26Z,2025-07-19T16:04:59Z
tls,2025-07-19T16:05:00Z,103.195.142.239,16133,3407,6,3178,3178,424787765,1987525,26330.36416041654,123.19624372404388,21.5,1,high_event_count;many_dest_ip;many_dest_port;alert_present;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:59Z
tls,2025-07-19T16:10:00Z,103.195.142.239,11310,2675,4,1740,1740,304318679,2534347,26907.045004420866,224.08019451812555,21.0,1,high_event_count;many_dest_ip;alert_present;high_probe_score,2025-07-19T16:10:00Z,2025-07-19T16:13:59Z
tls,2025-07-19T16:00:00Z,103.195.142.239,7221,1629,4,1050,1050,305905152,1219414,42363.26713751558,168.87051654895444,21.0,1,high_event_count;many_dest_ip;alert_present;high_probe_score,2025-07-19T16:02:25Z,2025-07-19T16:04:59Z
tls,2025-07-19T16:10:00Z,103.195.142.31,4684,1500,4,774,774,710555780,856409,151698.50128095644,182.8371050384287,21.0,1,high_event_count;many_dest_ip;alert_present;high_probe_score,2025-07-19T16:10:00Z,2025-07-19T16:13:58Z
tls,2025-07-19T16:05:00Z,103.195.142.31,5892,1833,3,1270,1270,960905780,1172569,163086.5207060421,199.0103530210455,20.75,1,high_event_count;many_dest_ip;alert_present;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:59Z
tls,2025-07-19T16:00:00Z,103.195.142.31,3233,930,3,458,458,510413538,729507,157876.1330034024,225.6439839158676,20.75,1,high_event_count;many_dest_ip;alert_present;high_probe_score,2025-07-19T16:02:26Z,2025-07-19T16:04:59Z
tls,2025-07-19T16:05:00Z,103.195.142.238,2172,462,3,403,403,14932326,105158,6874.919889502762,48.41528545119705,20.75,1,high_event_count;many_dest_ip;alert_present;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:59Z
tls,2025-07-19T16:05:00Z,103.195.142.88,893,197,3,76,76,16984955,62708,19020.106382978724,70.22172452407615,20.75,1,high_event_count;many_dest_ip;alert_present;high_probe_score,2025-07-19T16:05:00Z,2025-07-19T16:09:59Z
