application,src_ip,windows_seen,total_events,max_event_count_window,max_unique_dest_ip_window,max_unique_dest_port_window,total_alerts,max_probe_score,mean_probe_score,possible_probe_windows
tls,103.195.142.213,3,1010,379,85,204,206,26.25,25.791666666666668,3
tls,103.195.142.239,3,34664,16133,3407,6,5968,21.5,21.166666666666668,3
tls,103.195.142.31,3,13809,5892,1833,4,2502,21.0,20.833333333333332,3
tls,103.195.142.238,3,5390,2172,462,3,1104,20.75,20.5,3
tls,103.195.142.88,3,2061,893,197,3,144,20.75,20.5,3
tls,103.195.142.149,3,1376,659,333,3,222,20.75,20.583333333333332,3
tls,103.195.142.17,3,1470,647,348,646,0,17.5,17.5,3
tls,103.195.142.182,3,660,282,51,280,0,17.5,14.728333333333333,3
tls,103.195.142.193,3,1242,559,47,556,0,17.125,15.438333333333333,3
tls,103.195.142.250,3,3719,1635,167,7,6,16.5,15.666666666666666,3
tls,103.185.193.59,3,260,132,58,132,0,15.14,12.358333333333334,3
tls,103.195.142.156,3,229,137,31,137,8,20.375,13.443333333333333,2
tls,103.195.142.151,3,829,507,4,507,0,11.75,10.218333333333334,2
tls,103.195.142.210,3,199,99,15,48,0,10.105,7.076666666666667,2
tls,103.195.142.41,3,169,82,17,82,0,10.015,9.043333333333335,2
tls,103.185.193.23,3,130,76,39,76,0,12.645,9.283333333333333,1
tls,103.195.142.137,1,390,390,1,390,0,11.375,11.375,1
tls,103.185.193.21,3,129,51,23,39,0,10.145,9.068333333333333,1
tls,103.195.142.89,3,131,53,18,53,0,9.56,8.456666666666667,1
tls,103.195.142.197,3,71,31,24,29,2,13.370000000000001,9.14,0
tls,103.195.142.110,3,65,28,22,3,8,12.81,7.308333333333334,0
tls,103.195.142.72,3,55,47,15,2,28,11.815,5.658333333333334,0
tls,103.195.142.108,3,50,25,20,3,6,10.75,6.041666666666667,0
tls,103.195.142.5,3,79,39,29,39,0,10.655000000000001,8.526666666666667,0
tls,103.195.142.14,3,49,28,14,28,0,8.56,5.493333333333333,0
tls,103.195.142.3,3,55,23,17,23,0,8.335,6.325,0
tls,103.195.142.122,3,80,34,12,23,0,7.71,6.2,0
tls,103.185.193.48,3,36,23,10,22,0,7.21,3.9483333333333337,0
tls,103.185.193.67,3,40,26,9,20,0,6.645,3.766666666666667,0
tls,103.195.142.46,3,37,19,12,19,0,6.63,4.33,0
tls,103.195.142.208,3,42,23,3,23,0,6.585,4.113333333333333,0
tls,103.185.193.53,3,34,23,4,23,0,6.46,3.3516666666666666,0
tls,103.185.193.49,3,32,16,13,16,0,5.945,3.671666666666667,0
tls,103.195.142.50,3,26,20,3,20,0,5.775,2.5483333333333333,0
tls,103.195.142.101,2,38,19,2,19,0,5.38,5.3175,0
tls,103.185.193.15,3,24,13,5,13,0,4.135,2.6183333333333336,0
tls,103.195.142.30,3,23,14,7,12,0,4.03,2.4033333333333338,0
tls,103.195.142.237,3,52,24,22,3,0,3.98,2.8466666666666662,0
tls,103.195.142.221,2,16,13,3,13,0,3.76,2.4725,0
tls,103.195.142.102,3,15,9,7,9,0,3.3049999999999997,1.8916666666666666,0
tls,103.185.193.40,3,20,10,4,10,0,3.2,2.216666666666667,0
tls,103.185.193.69,3,11,8,5,8,0,2.785,1.3233333333333335,0
tls,103.195.142.216,3,18,8,5,8,0,2.535,2.12,0
tls,103.195.142.92,3,17,8,3,8,0,2.535,1.8216666666666665,0
tls,103.185.193.17,2,9,8,3,8,0,2.535,1.465,0
tls,103.195.142.242,3,11,6,6,6,0,2.37,1.406666666666667,0
tls,103.195.142.18,3,18,8,6,6,0,2.265,1.745,0
tls,103.195.142.25,3,10,6,5,6,0,2.245,1.2750000000000001,0
tls,103.185.193.71,3,27,14,5,5,0,2.1550000000000002,1.2633333333333334,0
tls,103.195.142.11,3,16,7,4,7,0,2.14,1.7316666666666667,0
tls,103.195.142.64,3,23,15,5,4,0,1.925,1.195,0
tls,103.195.142.236,2,8,6,4,5,0,1.87,1.33,0
tls,103.185.193.34,3,8,5,4,5,0,1.85,1.0116666666666667,0
tls,103.185.193.36,1,6,6,1,6,0,1.745,1.745,0
tls,103.185.193.60,3,8,5,3,5,0,1.725,0.9700000000000001,0
tls,103.195.142.63,3,31,13,7,2,0,1.635,1.4566666666666668,0
tls,103.195.142.248,1,5,5,2,5,0,1.6,1.6,0
tls,103.195.142.59,3,44,19,3,3,0,1.505,1.0433333333333332,0
tls,103.195.142.198,3,11,5,3,4,0,1.475,1.2816666666666667,0
tls,114.4.125.6,3,10,5,3,4,0,1.475,1.1500000000000001,0
tls,103.185.193.75,3,9,5,3,4,0,1.475,1.0183333333333333,0
tls,103.195.142.51,3,8,5,3,4,0,1.475,0.8450000000000001,0
tls,103.185.193.55,2,6,5,3,4,0,1.475,0.935,0
tls,103.195.142.73,3,10,4,3,4,0,1.33,1.2333333333333334,0
tls,103.185.193.58,3,6,4,3,3,0,1.205,0.665,0
tls,103.185.193.72,1,4,4,1,4,0,1.205,1.205,0
tls,103.185.193.77,1,4,4,1,4,0,1.205,1.205,0
tls,103.185.193.12,3,6,3,3,3,0,1.185,0.79,0
tls,103.195.142.109,2,5,3,3,3,0,1.185,0.9875,0
tls,103.195.142.33,2,4,3,3,3,0,1.185,0.79,0
tls,103.185.193.45,2,4,3,3,3,0,1.185,0.79,0
tls,103.195.142.6,2,9,8,4,2,0,1.1600000000000001,0.7775000000000001,0
tls,103.195.142.223,3,7,3,2,3,0,1.06,0.8383333333333334,0
