Feature,Correlation,Abs_Corr
row_max,1.0,1.0
ratio_max_to_min,1.0,1.0
pkt_src,0.9999999999999966,0.9999999999999966
row_std,0.9999999999996609,0.9999999999996609
row_sum,0.9999999997631225,0.9999999997631225
row_mean,0.9999999997631125,0.9999999997631125
ratio_sum_to_count,0.995537472978125,0.995537472978125
interact_0_7,-0.6857528702277376,0.6857528702277376
norm_7,-0.6847909921105028,0.6847909921105028
dport_is_dns,-0.6847909921105028,0.6847909921105028
norm_6,0.6753542314076425,0.6753542314076425
dest_port,0.675354231127582,0.675354231127582
interact_0_6,0.6722125356394449,0.6722125356394449
dest_ip,0.623774269209594,0.623774269209594
row_nonzero,-0.5118475764527745,0.5118475764527745
src_ip,-0.479960958518615,0.479960958518615
src_port,-0.45991125323428445,0.45991125323428445
pkts_toserver_ratio,0.4178126864852145,0.4178126864852145
pkts_toclient_ratio,-0.4178126864837667,0.4178126864837667
pkts_toclient,-0.41282396745507083,0.41282396745507083
norm_3,-0.411425063472696,0.411425063472696
bytes_toclient_ratio,-0.4114250523767046,0.4114250523767046
bytes_toserver_ratio,0.4114250523766357,0.4114250523766357
norm_5,0.4114250501729859,0.4114250501729859
interact_0_5,0.4085011319588914,0.4085011319588914
log_total_pkts,-0.4077768819832094,0.4077768819832094
total_pkts,-0.3965937924043037,0.3965937924043037
log_total_bytes,-0.395416014231774,0.395416014231774
interact_0_3,-0.3702315192403048,0.3702315192403048
norm_2,-0.3629085047531419,0.3629085047531419
bytes_toclient,-0.3629084955323996,0.3629084955323996
total_bytes,-0.35735156546461533,0.35735156546461533
interact_0_2,-0.31229761684745294,0.31229761684745294
interact_0_14,-0.27058515039316977,0.27058515039316977
bytes_per_pkt,-0.21294016148982547,0.21294016148982547
interact_0_12,-0.21294016130554205,0.21294016130554205
norm_0,-0.21294016020479087,0.21294016020479087
interact_0_4,-0.1956929933578787,0.1956929933578787
has_low_variance,-0.14579358587395003,0.14579358587395003
norm_4,-0.020603451272143046,0.020603451272143046
bytes_toserver,-0.02060344944232903,0.02060344944232903
timestamp,-0.01809184084018284,0.01809184084018284
interact_1_4,-0.012362251695242587,0.012362251695242587
norm_1,-0.012337046193721066,0.012337046193721066
interact_1_6,-0.012337046185301624,0.012337046185301624
bytes_per_sec,-0.012337046185028719,0.012337046185028719
interact_1_7,-0.01233704618432145,0.01233704618432145
interact_1_5,-0.01233354893060933,0.01233354893060933
pkts_per_sec,-0.012323980327364543,0.012323980327364543
interact_1_3,-0.012278601984089784,0.012278601984089784
interact_0_1,-0.012225463176962836,0.012225463176962836
interact_1_2,-0.012194222576975491,0.012194222576975491
log_duration,-0.01035941364526269,0.01035941364526269
interact_0_13,-0.010353206147687337,0.010353206147687337
pkts_toserver,0.009378972247422186,0.009378972247422186
duration,-0.0072562499800825206,0.0072562499800825206
interact_0_11,-0.0071447714534199885,0.0071447714534199885
flow_id,-0.001480578629513751,0.001480578629513751
