Feature,Correlation,Abs_Corr
label_confidence,1.0,1.0
label_status_final,1.0,1.0
has_alert,0.9999999999999999,0.9999999999999999
label_evidence_alert,0.9999999999999999,0.9999999999999999
Target_prelim,0.9999999999999999,0.9999999999999999
evidence_alert,0.9999999999999999,0.9999999999999999
label_reason,0.9999999999999997,0.9999999999999997
label_source,0.999999999999999,0.999999999999999
label_status,-0.9999999999999981,0.9999999999999981
alert_severity,0.9985456613787352,0.9985456613787352
alert_signature_id,0.9978652491092229,0.9978652491092229
alert_category,-0.9467735344501444,0.9467735344501444
event_type,0.8722741381995925,0.8722741381995925
row_mean,0.8555339956407916,0.8555339956407916
row_sum,0.8555339955497047,0.8555339955497047
pkt_src,0.8555253937292093,0.8555253937292093
ratio_max_to_min,0.8555253851132377,0.8555253851132377
row_max,0.8555253851132377,0.8555253851132377
row_std,0.8555250661280603,0.8555250661280603
has_high_values,0.7936570087429359,0.7936570087429359
log_duration,-0.6641490603539288,0.6641490603539288
interact_0_13,-0.6112319072340822,0.6112319072340822
interact_1_6,-0.5429311679716817,0.5429311679716817
pkts_per_sec,-0.42550294911255987,0.42550294911255987
interact_1_3,-0.412030559322312,0.412030559322312
dest_ip,-0.4094588468553789,0.4094588468553789
bytes_toserver_ratio,0.40315702054152863,0.40315702054152863
norm_5,0.4031570074595,0.4031570074595
has_low_variance,-0.380511054287421,0.380511054287421
interact_0_11,-0.3515096502954468,0.3515096502954468
duration,-0.3443523186220958,0.3443523186220958
pkts_toserver_ratio,0.34017058626152374,0.34017058626152374
ratio_sum_to_count,0.30997196837991503,0.30997196837991503
alert_signature,0.2970336128862716,0.2970336128862716
interact_0_3,-0.24682585085673908,0.24682585085673908
is_sparse,-0.2352763170146069,0.2352763170146069
has_flow,0.2352763170146069,0.2352763170146069
bytes_per_sec,-0.2046791083962969,0.2046791083962969
norm_1,-0.20467910211546456,0.20467910211546456
interact_0_14,-0.19323550340776668,0.19323550340776668
src_port,-0.17976331686957536,0.17976331686957536
log_total_pkts,-0.17446757241243868,0.17446757241243868
interact_0_6,-0.15502365839885435,0.15502365839885435
bytes_toclient,-0.14914157192825583,0.14914157192825583
norm_2,-0.14914157186475066,0.14914157186475066
dport_is_ssh,-0.12721423320703046,0.12721423320703046
app_filter_reason,-0.12438334123013942,0.12438334123013942
src_ip,0.12374880676385333,0.12374880676385333
row_nonzero,-0.12058937985566635,0.12058937985566635
interact_1_5,-0.11792410308018235,0.11792410308018235
interact_0_12,-0.11076200062036944,0.11076200062036944
norm_0,-0.11076199853736728,0.11076199853736728
bytes_per_pkt,-0.11076199829568191,0.11076199829568191
app_proto,0.10761889986753552,0.10761889986753552
dest_port,0.06666567060383886,0.06666567060383886
norm_6,0.06666567035724921,0.06666567035724921
pkts_toclient_ratio,0.04945309503992491,0.04945309503992491
interact_0_10,0.0420007113340568,0.0420007113340568
pkts_toclient,-0.03756053649321826,0.03756053649321826
interact_0_2,-0.0342251334388327,0.0342251334388327
interact_0_1,-0.03315123393391208,0.03315123393391208
interact_0_5,0.0286917295923816,0.0286917295923816
log_total_bytes,-0.026890007405716503,0.026890007405716503
total_pkts,-0.026606860379113993,0.026606860379113993
norm_3,-0.025195910361267716,0.025195910361267716
bytes_toclient_ratio,-0.02519590010996563,0.02519590010996563
pkts_toserver,-0.02134774672844758,0.02134774672844758
flow_id,-0.015689146058713962,0.015689146058713962
total_bytes,-0.00910069981832185,0.00910069981832185
interact_1_2,-0.006594422940864581,0.006594422940864581
interact_1_4,-0.005476000124437139,0.005476000124437139
bytes_toserver,-0.00546559894895027,0.00546559894895027
norm_4,-0.005465598849817827,0.005465598849817827
interact_0_4,-0.0036110343514278707,0.0036110343514278707
window_start,-0.0034349195764018917,0.0034349195764018917
timestamp,-0.002378865055361503,0.002378865055361503
