Feature,Correlation,Abs_Corr
has_alert,1.0,1.0
Target_prelim,1.0,1.0
label_status_final,1.0,1.0
label_reason,1.0,1.0
label_confidence,1.0,1.0
evidence_alert,1.0,1.0
label_evidence_alert,1.0,1.0
label_status,-0.9999999999999992,0.9999999999999992
label_source,0.9999999999999982,0.9999999999999982
alert_signature_id,0.9988257725825599,0.9988257725825599
alert_severity,0.9880551997273747,0.9880551997273747
has_high_values,0.700668670926096,0.700668670926096
row_sum,0.6992260381135623,0.6992260381135623
row_mean,0.6992260357631787,0.6992260357631787
row_max,0.699132407353974,0.699132407353974
ratio_max_to_min,0.699132407353974,0.699132407353974
pkt_src,0.6991324072449961,0.6991324072449961
row_std,0.6991290537306138,0.6991290537306138
alert_category,-0.6759455270416201,0.6759455270416201
alert_signature,0.6592421913752758,0.6592421913752758
event_type,0.543684353439493,0.543684353439493
log_duration,-0.3566995891092021,0.3566995891092021
interact_0_6,0.24817958858278438,0.24817958858278438
ratio_sum_to_count,0.23302950199976533,0.23302950199976533
pkts_toserver_ratio,0.19462465139611237,0.19462465139611237
interact_0_5,0.19264903217721094,0.19264903217721094
interact_0_12,0.19022998998342877,0.19022998998342877
bytes_per_pkt,0.19022998953272138,0.19022998953272138
norm_0,0.19022998723725257,0.19022998723725257
dest_ip,-0.18108465240308172,0.18108465240308172
has_low_variance,-0.17777531393592588,0.17777531393592588
interact_0_14,0.17200642285898227,0.17200642285898227
interact_0_13,-0.1661739196678643,0.1661739196678643
row_nonzero,-0.15630679759727323,0.15630679759727323
src_port,-0.14897043210798594,0.14897043210798594
interact_0_3,0.1408417972390177,0.1408417972390177
interact_1_5,-0.13378980138778288,0.13378980138778288
dport_is_http,0.11887367730522526,0.11887367730522526
norm_8,0.11887367730522526,0.11887367730522526
interact_0_8,0.09503478326550424,0.09503478326550424
interact_0_9,0.09295165010771865,0.09295165010771865
interact_0_4,0.09265631130146049,0.09265631130146049
has_flow,0.08814865134195791,0.08814865134195791
is_sparse,-0.08814865134195791,0.08814865134195791
norm_4,0.08573054524902939,0.08573054524902939
bytes_toserver,0.0857305437685929,0.0857305437685929
total_bytes,0.08335901824070574,0.08335901824070574
norm_2,0.0831535975686951,0.0831535975686951
bytes_toclient,0.083153596918294,0.083153596918294
bytes_toserver_ratio,0.0830657791164801,0.0830657791164801
norm_5,0.08306576958300643,0.08306576958300643
pkts_toserver,0.08125069026743854,0.08125069026743854
total_pkts,0.07783466422798083,0.07783466422798083
interact_0_10,0.07734885313321832,0.07734885313321832
dest_port,0.07620726455945975,0.07620726455945975
norm_6,0.07620726380128516,0.07620726380128516
pkts_toclient,0.07573296657973622,0.07573296657973622
interact_0_2,0.07376624938777071,0.07376624938777071
interact_1_6,-0.07322849596673371,0.07322849596673371
dport_is_ssh,0.07264594583014018,0.07264594583014018
app_filter_reason,0.07139084688431392,0.07139084688431392
log_total_bytes,0.06923002620686715,0.06923002620686715
app_proto,-0.06347439051149276,0.06347439051149276
pkts_per_sec,-0.0567494344676931,0.0567494344676931
pkts_toclient_ratio,-0.05627828691164898,0.05627828691164898
window_start,0.05203393497289059,0.05203393497289059
dport_is_https,0.04756068633030125,0.04756068633030125
norm_9,0.04756068633030125,0.04756068633030125
timestamp,0.020773655259433286,0.020773655259433286
bytes_toclient_ratio,0.01607567578345811,0.01607567578345811
norm_3,0.016075672335018668,0.016075672335018668
duration,-0.014994389506978288,0.014994389506978288
norm_1,-0.01318498498680358,0.01318498498680358
bytes_per_sec,-0.013184984973971213,0.013184984973971213
interact_1_3,-0.01153029859022133,0.01153029859022133
src_ip,0.010806691177442759,0.010806691177442759
interact_0_11,-0.00963563647554759,0.00963563647554759
interact_0_1,-0.009018286207229944,0.009018286207229944
interact_1_4,-0.0076263979344067,0.0076263979344067
interact_1_2,-0.006932155383739496,0.006932155383739496
flow_id,-0.004594764155037909,0.004594764155037909
log_total_pkts,0.0016714832385227706,0.0016714832385227706
