Feature,MI_Score
ratio_sum_to_count,0.6942353185533724
row_max,0.6942353185533724
row_sum,0.6942353185533724
ratio_max_to_min,0.6942353185533724
row_std,0.6942353185533724
row_mean,0.6942353185533724
row_nonzero,0.6063725050993871
interact_0_7,0.5937525025999577
interact_0_6,0.5896770445636004
dport_is_dns,0.23875958102098305
norm_6,0.22521715543741694
norm_7,0.17230661134240988
norm_5,0.17072962539780057
interact_0_14,0.16757224184604058
interact_0_12,0.16650535240684228
norm_0,0.16123964628461174
total_bytes,0.1564442679964404
bytes_per_pkt,0.15266264898306958
bytes_toclient_ratio,0.14686310347580656
bytes_toserver_ratio,0.14584995257919786
interact_0_2,0.14555573283025502
interact_0_4,0.14389149182729133
interact_0_3,0.14291720908364414
log_total_pkts,0.14044716593789874
norm_3,0.13786403554884075
pkts_toserver_ratio,0.13766686301031905
log_total_bytes,0.13710992768341623
bytes_toclient,0.13304591673309285
norm_2,0.1310904813985141
has_low_variance,0.12806449183107538
pkts_toclient,0.12425493279207123
interact_0_5,0.11508379951570635
total_pkts,0.09695712385134603
pkts_toclient_ratio,0.07694282679654108
interact_0_11,0.04777066840939126
interact_1_3,0.031087210622655403
pkts_per_sec,0.022455256827658365
bytes_toserver,0.021905432256094537
norm_1,0.018315157796255033
duration,0.01618965045335652
pkts_toserver,0.007909675597294719
interact_1_5,0.000411881759986521
bytes_per_sec,0.0
interact_0_1,0.0
log_duration,0.0
interact_1_7,0.0
interact_1_2,0.0
interact_0_13,0.0
interact_1_6,0.0
interact_1_4,0.0
norm_4,0.0
