Feature,RFE_Ranking,Selected
dport_is_dns,1,True
has_low_variance,1,True
interact_0_12,1,True
interact_0_14,1,True
interact_0_5,1,True
interact_0_6,1,True
interact_0_7,1,True
interact_1_3,1,True
interact_1_4,1,True
interact_1_6,1,True
norm_0,1,True
norm_1,1,True
norm_2,1,True
norm_3,1,True
norm_4,1,True
norm_5,1,True
norm_6,1,True
norm_7,1,True
ratio_max_to_min,1,True
ratio_sum_to_count,1,True
row_max,1,True
row_mean,1,True
row_nonzero,1,True
row_std,1,True
row_sum,1,True
interact_1_2,2,False
interact_0_11,3,False
interact_0_13,3,False
interact_1_5,3,False
interact_1_7,3,False
total_bytes,3,False
interact_0_4,4,False
log_total_bytes,4,False
log_total_pkts,4,False
pkts_toclient_ratio,4,False
pkts_toserver_ratio,4,False
bytes_toclient,5,False
bytes_toclient_ratio,5,False
bytes_toserver_ratio,5,False
interact_0_2,5,False
total_pkts,5,False
bytes_per_sec,6,False
interact_0_1,6,False
interact_0_3,6,False
log_duration,6,False
pkts_per_sec,6,False
bytes_per_pkt,7,False
bytes_toserver,7,False
duration,7,False
pkts_toclient,7,False
pkts_toserver,7,False
