Feature,RFE_Ranking,Selected
bytes_toserver,1,True
has_high_values,1,True
has_low_variance,1,True
interact_0_12,1,True
interact_0_14,1,True
interact_0_2,1,True
interact_0_4,1,True
interact_0_5,1,True
interact_0_6,1,True
is_sparse,1,True
log_total_bytes,1,True
log_total_pkts,1,True
norm_2,1,True
norm_4,1,True
norm_5,1,True
pkts_toserver_ratio,1,True
ratio_max_to_min,1,True
ratio_sum_to_count,1,True
row_max,1,True
row_mean,1,True
row_nonzero,1,True
row_std,1,True
row_sum,1,True
total_bytes,1,True
total_pkts,1,True
interact_0_1,2,False
interact_0_11,2,False
pkts_toclient,2,False
pkts_toserver,2,False
bytes_toclient,3,False
bytes_toclient_ratio,3,False
bytes_toserver_ratio,3,False
has_flow,3,False
interact_0_13,3,False
interact_0_3,4,False
norm_0,4,False
norm_3,4,False
norm_6,4,False
norm_8,4,False
bytes_per_pkt,5,False
log_duration,5,False
norm_1,5,False
norm_9,5,False
pkts_per_sec,5,False
interact_1_2,6,False
interact_1_3,6,False
interact_1_4,6,False
interact_1_5,6,False
interact_1_6,6,False
dport_is_http,7,False
dport_is_ssh,7,False
duration,7,False
interact_0_10,7,False
pkts_toclient_ratio,7,False
app_filter_reason,8,False
bytes_per_sec,8,False
dport_is_https,8,False
interact_0_8,8,False
interact_0_9,8,False
