Feature,MI_Score
ratio_sum_to_count,0.6931869151329331
row_nonzero,0.6792278403743018
row_sum,0.6728084500815829
row_mean,0.6726236780714737
row_std,0.6709254950610856
ratio_max_to_min,0.6688020567643126
row_max,0.6673162043699816
interact_0_6,0.5456651782819029
interact_0_5,0.4742275329601886
has_high_values,0.4681585191466524
norm_1,0.46461611475532116
interact_0_1,0.463787062080137
interact_0_11,0.46295258007806583
interact_1_5,0.4618416258182736
duration,0.4612922827351036
interact_1_2,0.46122977570371804
bytes_per_sec,0.46072892468805704
pkts_per_sec,0.4605311175886202
interact_1_3,0.4603826733344718
interact_1_6,0.45990112932813143
interact_1_4,0.45972432156467935
log_duration,0.45919695733409105
interact_0_13,0.45847479971932215
bytes_toserver,0.45192872812004525
interact_0_12,0.44758710297920956
bytes_per_pkt,0.4465162061494985
log_total_bytes,0.4463086683729329
total_bytes,0.44623188418524173
norm_4,0.4456035961467071
norm_0,0.4455947945296008
interact_0_14,0.44302310790449595
norm_5,0.4389152428102636
interact_0_4,0.43774916484840687
bytes_toserver_ratio,0.43597954990669163
log_total_pkts,0.42948874936740133
total_pkts,0.42606375458250234
bytes_toclient,0.4203208718232352
norm_2,0.4198004901628065
interact_0_3,0.4182727557930066
bytes_toclient_ratio,0.40635355130064843
pkts_toserver,0.40401310152221837
norm_3,0.40140310688761893
interact_0_2,0.39394804021611307
pkts_toclient,0.3920619068203359
pkts_toserver_ratio,0.375177959821964
pkts_toclient_ratio,0.3367714888427049
has_low_variance,0.13768316578427564
norm_6,0.12168709866373373
interact_0_10,0.08945417897582053
is_sparse,0.056385345323802794
has_flow,0.05223952469946669
app_filter_reason,0.009752474742868111
dport_is_ssh,0.005251215871771686
