Feature,RFE_Ranking,Selected
bytes_per_pkt,1,True
bytes_per_sec,1,True
bytes_toserver_ratio,1,True
has_flow,1,True
has_high_values,1,True
interact_0_11,1,True
interact_0_12,1,True
interact_0_13,1,True
interact_0_4,1,True
interact_0_5,1,True
interact_0_6,1,True
interact_1_4,1,True
interact_1_5,1,True
log_total_bytes,1,True
norm_0,1,True
norm_4,1,True
pkts_toserver_ratio,1,True
ratio_max_to_min,1,True
ratio_sum_to_count,1,True
row_max,1,True
row_mean,1,True
row_nonzero,1,True
row_std,1,True
row_sum,1,True
total_bytes,1,True
bytes_toserver,2,False
interact_1_3,2,False
norm_1,2,False
interact_0_1,3,False
is_sparse,3,False
norm_5,3,False
pkts_per_sec,3,False
total_pkts,3,False
interact_0_14,4,False
interact_0_2,4,False
interact_0_3,4,False
log_total_pkts,4,False
pkts_toserver,4,False
bytes_toclient_ratio,5,False
interact_1_6,5,False
log_duration,5,False
norm_3,5,False
pkts_toclient_ratio,5,False
dport_is_ssh,6,False
has_low_variance,6,False
interact_0_10,6,False
norm_2,6,False
norm_6,6,False
app_filter_reason,7,False
bytes_toclient,7,False
duration,7,False
interact_1_2,7,False
pkts_toclient,7,False
