Feature,RFE_Ranking,Selected
bytes_per_pkt,1,True
bytes_per_sec,1,True
bytes_toserver,1,True
bytes_toserver_ratio,1,True
duration,1,True
has_high_values,1,True
interact_0_1,1,True
interact_0_11,1,True
interact_0_12,1,True
interact_0_13,1,True
interact_0_4,1,True
interact_0_6,1,True
interact_1_3,1,True
log_duration,1,True
log_total_pkts,1,True
norm_0,1,True
norm_4,1,True
norm_5,1,True
ratio_max_to_min,1,True
ratio_sum_to_count,1,True
row_max,1,True
row_mean,1,True
row_nonzero,1,True
row_std,1,True
row_sum,1,True
interact_0_5,2,False
interact_1_4,2,False
pkts_toserver,2,False
pkts_toserver_ratio,2,False
has_flow,3,False
interact_0_14,3,False
is_sparse,3,False
log_total_bytes,3,False
total_bytes,3,False
has_low_variance,4,False
interact_1_2,4,False
interact_1_5,4,False
interact_1_6,4,False
norm_2,4,False
norm_1,5,False
norm_3,5,False
norm_6,5,False
norm_8,5,False
norm_9,5,False
dport_is_https,6,False
dport_is_ssh,6,False
interact_0_2,6,False
pkts_per_sec,6,False
pkts_toclient,6,False
bytes_toclient,7,False
dport_is_http,7,False
interact_0_3,7,False
pkts_toclient_ratio,7,False
total_pkts,7,False
app_filter_reason,8,False
bytes_toclient_ratio,8,False
interact_0_10,8,False
interact_0_8,8,False
interact_0_9,8,False
