App,Method,Model,accuracy,accuracy_std,precision_attack,recall_attack,f1_attack,auc,cv_folds,train_rows,train_features,holdout_accuracy,holdout_precision_attack,holdout_recall_attack,holdout_f1_attack,holdout_auc,test_rows,model_checkpoint,elapsed_seconds
dns,MI,DT,1.0,0.0,1.0,1.0,1.0,1.0,2,460,25,1.0,1.0,1.0,1.0,1.0,114,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=dns\checkpoints\MI\DT\final_model.joblib,0.25604089999978896
dns,MI,RFC,1.0,0.0,1.0,1.0,1.0,1.0,2,460,25,1.0,1.0,1.0,1.0,1.0,114,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=dns\checkpoints\MI\RFC\final_model.joblib,0.6846322999990662
dns,MI,LSVC,1.0,0.0,1.0,1.0,1.0,1.0,2,460,25,1.0,1.0,1.0,1.0,1.0,114,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=dns\checkpoints\MI\LSVC\final_model.joblib,0.21748399999705725
dns,MI,XGB,0.9978260869565218,0.0021739130434782483,1.0,0.9956521739130435,0.9978165938864629,1.0,2,460,25,1.0,1.0,1.0,1.0,1.0,114,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=dns\checkpoints\MI\XGB\final_model.joblib,0.3848651999978756
dns,RFE,DT,1.0,0.0,1.0,1.0,1.0,1.0,2,460,25,1.0,1.0,1.0,1.0,1.0,114,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=dns\checkpoints\RFE\DT\final_model.joblib,0.2293790000003355
dns,RFE,RFC,1.0,0.0,1.0,1.0,1.0,1.0,2,460,25,1.0,1.0,1.0,1.0,1.0,114,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=dns\checkpoints\RFE\RFC\final_model.joblib,0.6890027000008558
dns,RFE,LSVC,1.0,0.0,1.0,1.0,1.0,1.0,2,460,25,1.0,1.0,1.0,1.0,1.0,114,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=dns\checkpoints\RFE\LSVC\final_model.joblib,0.2032491999998456
dns,RFE,XGB,0.9934782608695651,0.0065217391304348005,1.0,0.9869565217391305,0.9933920704845816,1.0,2,460,25,1.0,1.0,1.0,1.0,1.0,114,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=dns\checkpoints\RFE\XGB\final_model.joblib,0.31291110000165645
dns,PCA,DT,1.0,0.0,1.0,1.0,1.0,1.0,2,460,53,1.0,1.0,1.0,1.0,1.0,114,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=dns\checkpoints\PCA\DT\final_model.joblib,0.23522479999883217
dns,PCA,RFC,1.0,0.0,1.0,1.0,1.0,1.0,2,460,53,1.0,1.0,1.0,1.0,1.0,114,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=dns\checkpoints\PCA\RFC\final_model.joblib,0.7046714999996766
dns,PCA,LSVC,1.0,0.0,1.0,1.0,1.0,1.0,2,460,53,1.0,1.0,1.0,1.0,1.0,114,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=dns\checkpoints\PCA\LSVC\final_model.joblib,0.21345890000156942
dns,PCA,XGB,0.9934782608695653,0.0021739130434782483,0.9871426466254052,1.0,0.9935251530079117,1.0,2,460,53,0.9912280701754386,0.9827586206896551,1.0,0.991304347826087,1.0,114,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=dns\checkpoints\PCA\XGB\final_model.joblib,0.34190769999986514
