App,Method,Model,accuracy,accuracy_std,precision_attack,recall_attack,f1_attack,auc,cv_folds,train_rows,train_features,holdout_accuracy,holdout_precision_attack,holdout_recall_attack,holdout_f1_attack,holdout_auc,test_rows,model_checkpoint,elapsed_seconds
tls,MI,DT,1.0,0.0,1.0,1.0,1.0,1.0,2,340,25,1.0,1.0,1.0,1.0,1.0,86,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=tls\checkpoints\MI\DT\final_model.joblib,0.20329449999917415
tls,MI,RFC,1.0,0.0,1.0,1.0,1.0,1.0,2,340,25,1.0,1.0,1.0,1.0,1.0,86,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=tls\checkpoints\MI\RFC\final_model.joblib,0.67914010000095
tls,MI,LSVC,1.0,0.0,1.0,1.0,1.0,1.0,2,340,25,1.0,1.0,1.0,1.0,1.0,86,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=tls\checkpoints\MI\LSVC\final_model.joblib,0.21700829999826965
tls,MI,XGB,0.9941176470588236,0.0,1.0,0.9882352941176471,0.9940828402366864,0.999515570934256,2,340,25,1.0,1.0,1.0,1.0,1.0,86,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=tls\checkpoints\MI\XGB\final_model.joblib,0.3326789999991888
tls,RFE,DT,0.9941176470588236,0.00588235294117645,1.0,0.9882352941176471,0.9940476190476191,0.9941176470588236,2,340,25,1.0,1.0,1.0,1.0,1.0,86,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=tls\checkpoints\RFE\DT\final_model.joblib,0.220090099999652
tls,RFE,RFC,1.0,0.0,1.0,1.0,1.0,1.0,2,340,25,1.0,1.0,1.0,1.0,1.0,86,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=tls\checkpoints\RFE\RFC\final_model.joblib,0.6682959999998275
tls,RFE,LSVC,1.0,0.0,1.0,1.0,1.0,1.0,2,340,25,1.0,1.0,1.0,1.0,1.0,86,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=tls\checkpoints\RFE\LSVC\final_model.joblib,0.2118854000000283
tls,RFE,XGB,0.9970588235294118,0.002941176470588225,1.0,0.9941176470588236,0.9970414201183432,0.999515570934256,2,340,25,1.0,1.0,1.0,1.0,1.0,86,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=tls\checkpoints\RFE\XGB\final_model.joblib,0.34271430000080727
tls,PCA,DT,0.9794117647058824,0.00882352941176473,0.9713903743315508,0.9882352941176471,0.9796667800068004,0.9794117647058824,2,340,62,1.0,1.0,1.0,1.0,1.0,86,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=tls\checkpoints\PCA\DT\final_model.joblib,0.2239091000010376
tls,PCA,RFC,0.9941176470588236,0.0,0.9941860465116279,0.9941176470588236,0.9941174435101561,1.0,2,340,62,1.0,1.0,1.0,1.0,1.0,86,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=tls\checkpoints\PCA\RFC\final_model.joblib,0.7322853000005125
tls,PCA,LSVC,0.9970588235294118,0.002941176470588225,0.9941860465116279,1.0,0.9970760233918128,0.9941176470588236,2,340,62,1.0,1.0,1.0,1.0,1.0,86,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=tls\checkpoints\PCA\LSVC\final_model.joblib,0.2323558000025514
tls,PCA,XGB,0.9882352941176471,0.005882352941176505,0.9829545454545454,0.9941176470588236,0.9883708998871292,0.9997923875432526,2,340,62,1.0,1.0,1.0,1.0,1.0,86,D:\Program\TA\storage\eve_v2_work\results\phase13_train\app=tls\checkpoints\PCA\XGB\final_model.joblib,0.34210329999768874
