application,dest_port,count
dns,53,4660
dns,47822,2
dns,39242,2
dns,42291,1
dns,40431,1
dns,55227,1
dns,36878,1
dns,43875,1
dns,46834,1
dns,56663,1
dns,59124,1
dns,34221,1
dns,49864,1
dns,45513,1
dns,35720,1
dns,49941,1
dns,57662,1
dns,43231,1
dns,38155,1
dns,43308,1
dns,57794,1
dns,47799,1
dns,49020,1
dns,44784,1
dns,52217,1
dns,51496,1
dns,33724,1
dns,38192,1
dns,49231,1
dns,48589,1
http,80,815
http,8080,73
http,8888,50
http,8000,45
http,3398,35
http,2375,31
http,443,31
http,8081,29
http,631,29
http,7777,22
http,8001,20
http,5960,18
http,1337,17
http,8090,15
http,8008,15
http,3128,14
http,58651,11
http,33454,11
http,54881,11
http,8002,10
http,8010,10
http,8118,9
http,9200,7
http,7547,7
http,5985,7
http,8085,7
http,8989,7
http,5060,7
http,23,6
http,8006,6
tls,443,524
tls,8443,269
tls,64297,79
tls,995,70
tls,8080,32
tls,993,28
tls,465,23
tls,143,18
tls,1337,17
tls,8000,16
tls,80,16
tls,20000,13
tls,110,12
tls,9443,12
tls,8888,10
tls,2375,10
tls,2078,9
tls,9200,9
tls,23443,9
tls,8015,8
tls,10443,8
tls,6000,7
tls,631,7
tls,4433,7
tls,587,6
tls,9090,6
tls,46443,6
tls,8009,6
tls,7443,6
tls,8010,6
ssh,64295,12836
ssh,22,6991
ssh,35869,191
ssh,22222,50
ssh,20012,42
ssh,17024,37
ssh,38179,36
ssh,18951,36
ssh,61427,36
ssh,32106,35
ssh,46902,35
ssh,29167,35
ssh,45384,35
ssh,1117,35
ssh,13218,34
ssh,20116,34
ssh,4145,33
ssh,14270,33
ssh,5097,33
ssh,30001,32
ssh,20121,32
ssh,7979,32
ssh,5678,32
ssh,3129,31
ssh,8729,31
ssh,5566,31
ssh,60745,30
ssh,55008,29
ssh,8990,29
ssh,9922,28
