timestamp,src_ip,dest_ip,src_port,dest_port,proto,event_type,app_proto,flow_id,pkt_src,has_flow,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,duration,total_pkts,total_bytes,has_alert,alert_category,alert_severity,alert_signature,alert_signature_id,label_evidence_alert,label_evidence_compromised_ip,label_status,label_reason,Target_prelim,application,app_filter_reason
2025-11-27T07:10:42.906380+0000,185.218.84.21,10.0.9.71,53432,64295,TCP,alert,ssh,540544768330779.0,wire/pcap,1,4,2,289,183,0.0,6,472,1,Misc activity,3,ET INFO SSH session in progress on Expected Port,2001978,1,0,malicious_evidence,valid_alert,1,ssh,app_proto
2025-11-27T07:10:45.656269+0000,91.231.222.167,10.0.9.71,20206,64295,TCP,alert,ssh,922973590467428.0,wire/pcap,1,4,2,289,183,0.0,6,472,1,Misc activity,3,ET INFO SSH session in progress on Expected Port,2001978,1,0,malicious_evidence,valid_alert,1,ssh,app_proto
2025-11-27T07:10:48.932972+0000,91.215.85.88,10.0.9.71,3442,22,TCP,alert,,1261314875611.0,wire/pcap,1,3,1,192,66,0.0,4,258,1,Misc activity,3,ET INFO SSH-2.0-Go version string Observed in Network Traffic,2038967,1,0,malicious_evidence,valid_alert,1,ssh,port
2025-11-27T07:10:49.147776+0000,91.215.85.88,10.0.9.71,3442,22,TCP,alert,ssh,1261314875611.0,wire/pcap,1,5,3,1516,848,0.0,8,2364,1,Misc activity,3,ET INFO SSH session in progress on Expected Port,2001978,1,0,malicious_evidence,valid_alert,1,ssh,app_proto+port
2025-11-27T07:10:49.370407+0000,91.215.85.88,10.0.9.71,3442,22,TCP,ssh,,1261314875611.0,stream (detect/log),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-11-27T07:10:51.235209+0000,45.78.216.15,10.0.9.71,34810,22,TCP,alert,ssh,969360943625915.0,wire/pcap,1,5,3,1297,880,0.0,8,2177,1,Misc activity,3,ET INFO SSH session in progress on Expected Port,2001978,1,0,malicious_evidence,valid_alert,1,ssh,app_proto+port
2025-11-27T07:10:51.863932+0000,45.78.216.15,10.0.9.71,34810,22,TCP,ssh,,969360943625915.0,stream (detect/log),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-11-27T07:11:05.725365+0000,91.231.222.163,10.0.9.71,9674,64295,TCP,alert,ssh,2162198810972007.0,wire/pcap,1,4,2,289,183,0.0,6,472,1,Misc activity,3,ET INFO SSH session in progress on Expected Port,2001978,1,0,malicious_evidence,valid_alert,1,ssh,app_proto
2025-11-27T07:11:07.364411+0000,185.218.84.17,10.0.9.71,34354,64295,TCP,alert,ssh,282993096635185.0,wire/pcap,1,4,2,289,183,0.0,6,472,1,Misc activity,3,ET INFO SSH session in progress on Expected Port,2001978,1,0,malicious_evidence,valid_alert,1,ssh,app_proto
2025-11-27T07:11:15.339750+0000,91.231.222.176,10.0.9.71,53530,64295,TCP,alert,ssh,495961679777759.0,wire/pcap,1,4,2,289,183,0.0,6,472,1,Misc activity,3,ET INFO SSH session in progress on Expected Port,2001978,1,0,malicious_evidence,valid_alert,1,ssh,app_proto
