application,src_ip,windows_seen,total_events,max_event_count_window,max_unique_dest_ip_window,max_unique_dest_port_window,total_alerts,max_probe_score,mean_probe_score,possible_probe_windows
dns,51.158.205.203,1,3,3,1,1,2,3.935,3.935,0
dns,147.185.132.54,1,3,3,1,1,2,3.935,3.935,0
dns,64.62.197.72,2,3,2,1,1,2,3.915,2.1550000000000002,0
dns,10.0.9.71,180,4606,45,1,1,136,3.025,2.209,0
dns,146.19.24.212,15,16,2,1,1,1,2.165,0.513,0
dns,115.231.78.3,3,4,2,1,1,2,2.165,1.5683333333333334,0
dns,87.120.191.127,2,3,2,1,1,1,2.165,1.28,0
dns,91.224.92.113,1,2,2,1,1,1,2.165,2.165,0
dns,10.0.1.2,139,139,1,1,1,139,2.145,2.145,0
dns,165.232.185.64,2,2,1,1,1,1,2.145,1.27,0
dns,69.164.244.94,6,9,2,1,1,0,0.41500000000000004,0.405,0
dns,87.121.84.20,2,2,1,1,1,0,0.395,0.395,0
dns,185.73.23.133,1,1,1,1,1,0,0.395,0.395,0
dns,185.94.111.1,1,1,1,1,1,0,0.395,0.395,0
dns,8.134.58.68,1,1,1,1,1,0,0.395,0.395,0
dns,176.65.134.118,1,1,1,1,1,0,0.395,0.395,0
dns,45.79.180.101,1,1,1,1,1,0,0.395,0.395,0
dns,109.236.61.23,1,1,1,1,1,0,0.395,0.395,0
dns,37.140.164.30,1,1,1,1,1,0,0.395,0.395,0
