application,src_ip,windows_seen,total_events,max_event_count_window,max_unique_dest_ip_window,max_unique_dest_port_window,total_alerts,max_probe_score,mean_probe_score,possible_probe_windows
http,213.209.143.73,4,62,44,1,1,28,10.004999999999999,5.4975,0
http,152.32.239.5,2,25,20,1,1,15,9.525,5.0,0
http,36.255.98.221,5,68,17,1,1,36,9.465,8.697,0
http,193.142.147.209,18,81,13,1,1,59,9.385,3.7705555555555557,0
http,41.216.188.120,32,162,11,1,1,97,9.344999999999999,5.671562499999999,0
http,149.50.96.133,7,28,11,1,1,20,9.344999999999999,2.9549999999999996,0
http,41.216.188.49,30,124,10,1,1,75,9.325,4.774333333333333,0
http,10.0.9.71,113,545,11,4,6,19,8.370000000000001,0.8973451327433629,0
http,194.187.179.253,2,6,5,1,1,4,7.475,3.9349999999999996,0
http,5.104.86.2,2,18,9,1,1,6,5.805,5.805,0
http,87.121.84.49,3,15,7,1,1,7,5.765000000000001,4.558333333333334,0
http,87.121.84.50,2,14,7,1,1,6,5.765000000000001,5.765000000000001,0
http,45.135.193.9,11,27,6,1,1,15,5.745,2.8104545454545455,0
http,45.112.194.207,7,14,4,1,1,9,5.705,2.665,0
http,57.129.64.219,1,15,15,1,15,0,4.175,4.175,0
http,85.11.167.3,1,6,6,1,1,2,3.995,3.995,0
http,5.187.35.21,11,29,5,1,1,10,3.975,2.018636363636364,0
http,115.231.78.3,5,14,7,1,2,4,3.935,1.8810000000000002,0
http,176.65.148.95,3,6,3,1,1,4,3.935,2.7483333333333335,0
http,209.38.201.154,2,5,3,1,1,2,3.935,2.175,0
http,165.227.52.25,1,3,3,1,1,2,3.935,3.935,0
http,213.209.157.254,1,3,3,1,1,2,3.935,3.935,0
http,213.209.157.77,1,3,3,1,1,2,3.935,3.935,0
http,176.65.149.170,1,3,3,1,1,2,3.935,3.935,0
http,64.62.197.132,2,3,2,1,1,2,3.915,2.1550000000000002,0
http,51.68.54.55,2,13,11,1,11,0,3.0949999999999998,1.88,0
http,54.37.81.238,5,16,10,1,10,0,2.825,0.9890000000000001,0
http,31.14.32.6,5,33,9,1,9,0,2.555,1.907,0
http,51.68.54.67,2,12,8,1,8,0,2.285,1.745,0
http,15.235.227.39,2,11,8,1,8,0,2.285,1.61,0
http,148.153.189.62,2,7,5,1,1,1,2.225,1.32,0
http,45.84.107.128,1,5,5,1,1,1,2.225,2.225,0
http,152.32.183.22,2,5,4,1,1,1,2.205,1.3,0
http,46.101.248.177,1,4,4,1,1,1,2.205,2.205,0
http,188.166.165.169,1,4,4,1,1,1,2.205,2.205,0
http,165.232.73.23,1,4,4,1,1,1,2.205,2.205,0
http,87.120.191.124,4,11,3,1,1,3,2.185,1.7425000000000002,0
http,3.134.148.59,5,8,3,1,1,4,2.185,1.807,0
http,93.174.93.12,2,4,3,1,1,1,2.185,1.29,0
http,184.105.139.68,1,3,3,1,1,1,2.185,2.185,0
http,216.218.206.66,1,3,3,1,1,1,2.185,2.185,0
