application,window_start,src_ip,event_count_window,unique_dest_ip_window,unique_dest_port_window,alert_count_window,target_prelim_malicious_count,total_bytes_window,total_pkts_window,bytes_per_event_window,pkts_per_event_window,probe_score,is_possible_probe,probe_reason,first_seen,last_seen
ssh,2025-11-27T08:25:00Z,10.0.9.71,176,6,175,176,176,126619,1792,719.4261363636364,10.181818181818182,19.27,1,high_event_count;many_dest_port;alert_present;high_probe_score,2025-11-27T08:25:46Z,2025-11-27T08:29:58Z
ssh,2025-11-27T10:00:00Z,10.0.9.71,197,2,196,197,197,141901,2031,720.3096446700507,10.309644670050762,19.189999999999998,1,high_event_count;many_dest_port;alert_present;high_probe_score,2025-11-27T10:00:01Z,2025-11-27T10:04:57Z
ssh,2025-11-27T08:35:00Z,10.0.9.71,119,5,119,119,119,85111,1197,715.218487394958,10.058823529411764,18.005,1,high_event_count;many_dest_port;alert_present;high_probe_score,2025-11-27T08:35:08Z,2025-11-27T08:39:59Z
ssh,2025-11-27T09:50:00Z,10.0.9.71,113,4,113,113,113,84352,1190,746.4778761061947,10.530973451327434,17.759999999999998,1,high_event_count;many_dest_port;alert_present;high_probe_score,2025-11-27T09:50:58Z,2025-11-27T09:54:52Z
ssh,2025-11-27T09:40:00Z,10.0.9.71,105,4,105,105,105,77296,1067,736.152380952381,10.161904761904761,17.6,1,high_event_count;many_dest_port;alert_present;high_probe_score,2025-11-27T09:40:00Z,2025-11-27T09:44:09Z
ssh,2025-11-27T08:50:00Z,10.0.9.71,116,2,116,116,116,85469,1175,736.801724137931,10.129310344827585,17.57,1,high_event_count;many_dest_port;alert_present;high_probe_score,2025-11-27T08:50:03Z,2025-11-27T08:54:34Z
ssh,2025-11-27T10:45:00Z,10.0.9.71,115,2,115,115,115,82245,1156,715.1739130434783,10.052173913043479,17.55,1,high_event_count;many_dest_port;alert_present;high_probe_score,2025-11-27T10:45:00Z,2025-11-27T10:49:58Z
ssh,2025-11-27T10:30:00Z,10.0.9.71,90,4,90,90,90,63282,904,703.1333333333333,10.044444444444444,17.3,1,high_event_count;many_dest_port;alert_present;high_probe_score,2025-11-27T10:30:17Z,2025-11-27T10:33:54Z
ssh,2025-11-27T09:10:00Z,10.0.9.71,99,2,99,99,99,69492,993,701.939393939394,10.030303030303031,17.23,1,high_event_count;many_dest_port;alert_present;high_probe_score,2025-11-27T09:10:00Z,2025-11-27T09:14:37Z
ssh,2025-11-27T08:45:00Z,10.0.9.71,96,2,93,94,94,66298,945,690.6041666666666,9.84375,17.17,1,high_event_count;many_dest_port;alert_present;high_probe_score,2025-11-27T08:45:59Z,2025-11-27T08:49:59Z
