application,src_ip,windows_seen,total_events,max_event_count_window,max_unique_dest_ip_window,max_unique_dest_port_window,total_alerts,max_probe_score,mean_probe_score,possible_probe_windows
ssh,10.0.9.71,138,2319,197,6,196,2314,19.27,6.866884057971014,16
ssh,213.209.143.73,31,1563,130,1,7,31,9.215,3.6817741935483874,11
ssh,35.200.201.144,3,517,382,1,1,21,14.125,9.941666666666666,2
ssh,139.196.218.159,2,333,260,1,1,9,14.125,11.48,2
ssh,91.231.222.169,154,701,239,1,1,401,13.905000000000001,2.37512987012987,1
ssh,176.65.132.190,14,392,82,1,4,10,4.525,2.3814285714285712,1
ssh,172.25.0.2,38,180,19,6,11,90,12.254999999999999,4.5815789473684205,0
ssh,91.231.222.172,154,479,24,1,1,180,9.605,2.2894805194805192,0
ssh,103.204.167.14,170,1299,16,1,1,378,9.445,4.398411764705882,0
ssh,103.51.216.210,9,84,16,1,1,12,9.445,2.895,0
ssh,91.231.222.163,154,876,11,1,1,169,9.344999999999999,2.397857142857143,0
ssh,58.221.60.25,11,66,11,1,1,14,9.344999999999999,2.563181818181818,0
ssh,64.62.156.222,2,13,11,1,1,11,9.344999999999999,4.879999999999999,0
ssh,185.218.84.20,154,669,10,1,1,147,9.325,2.1096103896103897,0
ssh,3.134.148.59,17,40,10,1,2,22,9.325,2.1867647058823527,0
ssh,185.218.84.15,154,671,9,1,1,150,9.305,2.1666883116883118,0
ssh,185.220.101.160,1,9,9,1,1,7,9.305,9.305,0
ssh,91.231.222.175,154,459,8,1,1,163,9.285,2.2755194805194807,0
ssh,91.231.222.177,154,458,8,1,1,139,9.285,2.0140259740259743,0
ssh,91.231.222.166,154,456,8,1,1,160,9.285,2.2296753246753247,0
ssh,91.231.222.170,154,454,8,1,1,161,9.285,2.2521428571428572,0
ssh,134.122.60.238,16,269,20,1,1,46,7.775,5.7425,0
ssh,202.137.222.34,10,92,16,1,1,24,7.695,4.759,0
ssh,103.9.78.71,10,85,16,1,1,13,7.695,2.82,0
ssh,83.235.16.111,8,79,14,1,1,13,7.655,3.4162500000000002,0
ssh,181.188.172.6,11,77,14,1,1,13,7.655,2.5831818181818185,0
ssh,188.166.104.136,12,56,11,1,1,12,7.595,2.2183333333333333,0
ssh,20.64.105.194,1,11,11,1,1,4,7.595,7.595,0
ssh,204.76.203.83,27,177,9,1,1,68,7.555,4.913518518518519,0
ssh,92.118.39.95,15,103,9,1,1,42,7.555,5.412333333333334,0
ssh,103.172.204.83,13,101,12,1,1,17,7.555,2.8188461538461542,0
ssh,20.46.246.132,1,9,9,1,1,4,7.555,7.555,0
ssh,185.218.84.21,154,656,7,1,1,148,7.515,2.142012987012987,0
ssh,185.218.84.30,154,672,8,1,1,149,7.495,2.1554545454545453,0
ssh,91.231.222.171,154,461,6,1,1,164,7.495,2.2985064935064936,0
ssh,91.231.222.167,154,453,6,1,1,157,7.495,2.217922077922078,0
ssh,91.231.222.174,154,426,6,1,1,151,7.495,2.1462337662337663,0
ssh,91.231.222.176,154,422,6,1,1,146,7.495,2.088896103896104,0
ssh,77.83.207.82,20,65,6,1,1,31,7.495,3.1525000000000003,0
ssh,45.140.17.52,1,6,6,1,1,4,7.495,7.495,0
ssh,91.215.85.88,42,182,7,1,1,75,7.475,3.586666666666667,0
ssh,118.145.213.216,7,52,22,1,1,6,6.0649999999999995,2.0235714285714286,0
ssh,45.143.203.170,8,79,15,1,1,12,5.925,3.1975,0
ssh,103.221.222.208,19,107,13,1,1,35,5.885,3.711315789473684,0
ssh,185.218.84.17,154,671,7,1,1,149,5.765000000000001,2.1553246753246755,0
ssh,185.218.84.22,154,668,7,1,1,147,5.765000000000001,2.1322077922077924,0
ssh,185.218.84.18,154,664,7,1,1,141,5.765000000000001,2.0635064935064937,0
ssh,101.47.160.200,17,78,9,1,1,16,5.765000000000001,2.1138235294117647,0
ssh,185.218.84.16,154,674,6,1,1,144,5.745,2.098896103896104,0
ssh,185.218.84.24,154,662,6,1,1,143,5.745,2.085974025974026,0
ssh,185.218.84.19,154,662,6,1,1,141,5.745,2.0632467532467533,0
ssh,101.47.49.199,17,72,8,1,1,12,5.745,1.695,0
ssh,150.241.115.127,4,16,6,1,1,7,5.745,3.5175,0
ssh,91.231.222.168,154,427,5,1,1,152,5.725,2.1577272727272727,0
ssh,62.60.131.157,12,41,5,1,1,21,5.725,3.5058333333333334,0
ssh,64.62.156.131,1,5,5,1,1,3,5.725,5.725,0
ssh,91.92.241.59,1,5,5,1,1,3,5.725,5.725,0
ssh,18.207.222.36,1,5,5,1,1,3,5.725,5.725,0
ssh,185.220.101.143,1,5,5,1,1,3,5.725,5.725,0
ssh,185.220.101.188,1,5,5,1,1,3,5.725,5.725,0
ssh,195.154.83.112,109,271,4,1,1,136,5.705,2.6082110091743123,0
ssh,178.16.54.6,40,104,4,1,1,44,5.705,2.352,0
ssh,3.132.23.201,10,25,4,1,1,15,5.705,3.05,0
ssh,3.137.73.221,7,19,4,1,2,11,5.705,3.2150000000000003,0
ssh,3.131.215.38,8,18,4,1,2,11,5.705,2.8575,0
ssh,179.43.139.58,4,11,4,1,1,5,5.705,2.6175,0
ssh,60.48.255.61,2,6,4,1,1,3,5.705,3.06,0
ssh,213.209.143.51,2,5,4,1,1,3,5.705,3.05,0
ssh,193.152.45.14,1,8,8,1,2,2,4.285,4.285,0
ssh,185.116.160.35,9,94,19,1,1,10,4.255,2.5283333333333333,0
ssh,186.96.151.198,9,81,18,1,1,9,4.234999999999999,2.305,0
ssh,82.165.93.136,3,15,5,1,2,6,4.225,4.225,0
ssh,159.138.111.122,7,71,16,1,1,7,4.195,2.3278571428571424,0
ssh,165.154.1.18,12,82,14,1,1,10,4.155,1.97,0
ssh,139.59.229.250,8,75,14,1,1,9,4.155,2.53125,0
ssh,14.63.217.28,9,72,14,1,1,10,4.155,2.4794444444444443,0
ssh,186.56.11.17,12,84,12,1,1,12,4.115,2.265,0
ssh,14.103.135.94,9,58,12,1,1,6,4.115,1.6705555555555558,0
ssh,36.91.81.195,10,89,17,1,1,9,4.095,2.128,0
ssh,198.12.85.136,8,72,15,1,1,8,4.075,2.3049999999999997,0
ssh,205.185.125.150,9,72,12,1,1,10,4.075,2.479444444444445,0
ssh,158.174.210.161,11,75,11,1,1,11,4.035,2.2613636363636362,0
ssh,172.236.228.39,1,8,8,1,1,2,4.035,4.035,0
ssh,14.103.45.50,1,8,8,1,1,2,4.035,4.035,0
ssh,151.243.22.117,9,73,11,1,1,9,4.015000000000001,2.287222222222222,0
ssh,200.141.40.187,12,64,9,1,1,12,4.015000000000001,2.231666666666667,0
ssh,195.177.94.144,1,7,7,1,1,2,4.015000000000001,4.015000000000001,0
ssh,14.241.111.74,2,10,6,1,1,4,3.995,3.975,0
ssh,159.223.13.59,2,9,6,1,1,2,3.995,2.215,0
