application,src_ip,windows_seen,total_events,max_event_count_window,max_unique_dest_ip_window,max_unique_dest_port_window,total_alerts,max_probe_score,mean_probe_score,possible_probe_windows
tls,3.137.73.221,15,31,6,1,2,11,7.725,1.7163333333333335,0
tls,172.217.70.207,1,4,4,1,2,4,7.705,7.705,0
tls,10.0.9.23,19,62,9,1,1,23,7.555,2.558684210526316,0
tls,45.82.78.103,12,28,6,1,1,4,7.495,1.0050000000000001,0
tls,162.216.149.81,2,8,6,1,1,4,7.495,3.955,0
tls,165.227.52.25,1,6,6,1,1,4,7.495,7.495,0
tls,209.97.176.23,1,6,6,1,1,4,7.495,7.495,0
tls,3.132.23.201,14,30,5,1,2,8,7.475,1.4714285714285715,0
tls,10.0.9.71,43,92,6,3,3,52,6.35,2.6183720930232557,0
tls,41.216.188.120,5,24,6,1,1,11,5.745,4.321,0
tls,41.216.188.49,3,13,6,1,1,6,5.745,3.9616666666666664,0
tls,146.70.52.214,1,5,5,1,1,3,5.725,5.725,0
tls,45.140.17.52,1,4,4,1,1,3,5.705,5.705,0
tls,194.180.49.167,1,5,5,1,3,2,4.475,4.475,0
tls,151.101.66.49,1,2,2,1,2,2,4.165,4.165,0
tls,162.216.149.102,3,8,4,1,1,2,3.955,1.595,0
tls,162.216.150.228,1,4,4,1,1,2,3.955,3.955,0
tls,205.210.31.54,1,4,4,1,1,2,3.955,3.955,0
tls,3.131.215.38,11,19,3,1,2,4,3.935,1.1140909090909092,0
tls,165.154.138.107,2,4,3,1,1,2,3.935,2.165,0
tls,52.186.182.60,1,3,3,1,1,2,3.935,3.935,0
tls,91.231.89.234,1,3,3,1,1,2,3.935,3.935,0
tls,107.150.117.121,1,3,3,1,1,2,3.935,3.935,0
tls,115.231.78.3,22,119,29,1,2,3,3.915,0.7331818181818182,0
tls,205.210.31.79,2,3,2,1,1,2,3.915,2.1550000000000002,0
tls,64.62.156.52,2,3,2,1,1,2,3.915,2.1550000000000002,0
tls,45.142.154.10,2,3,2,1,1,2,3.915,2.1550000000000002,0
tls,74.82.47.5,2,3,2,1,1,2,3.915,2.1550000000000002,0
tls,91.231.89.108,2,3,2,1,1,2,3.915,2.1550000000000002,0
tls,104.152.52.69,1,21,21,1,1,1,2.545,2.545,0
tls,5.101.64.6,2,27,14,1,1,1,2.4050000000000002,1.52,0
tls,167.94.138.38,1,14,14,1,1,1,2.4050000000000002,2.4050000000000002,0
tls,45.156.129.80,1,13,13,1,1,1,2.385,2.385,0
tls,51.161.172.223,1,12,12,1,1,1,2.365,2.365,0
tls,213.32.122.82,1,5,5,1,1,1,2.225,2.225,0
tls,88.214.50.45,5,19,6,1,1,1,2.205,0.8009999999999999,0
tls,20.64.105.196,1,4,4,1,1,1,2.205,2.205,0
tls,167.94.146.56,2,11,8,1,1,1,2.185,1.36,0
tls,45.82.78.102,3,7,3,1,1,1,2.185,1.0050000000000001,0
tls,205.210.31.163,1,3,3,1,1,1,2.185,2.185,0
tls,35.203.210.150,1,3,3,1,1,1,2.185,2.185,0
tls,104.152.52.57,1,3,3,1,1,1,2.185,2.185,0
tls,40.124.173.160,1,3,3,1,1,1,2.185,2.185,0
tls,45.156.129.83,1,3,3,1,1,1,2.185,2.185,0
tls,54.144.193.250,1,3,3,1,1,1,2.185,2.185,0
tls,3.88.208.159,1,3,3,1,1,1,2.185,2.185,0
tls,54.157.236.122,1,3,3,1,1,1,2.185,2.185,0
tls,3.134.148.59,16,26,3,1,2,2,2.165,0.72,0
tls,185.242.226.15,5,6,2,1,1,3,2.165,1.449,0
tls,176.32.195.85,2,3,2,1,1,1,2.165,1.28,0
tls,34.72.239.183,1,2,2,1,1,1,2.165,2.165,0
tls,93.174.93.12,1,2,2,1,1,1,2.165,2.165,0
tls,45.144.212.20,1,2,2,1,1,1,2.165,2.165,0
tls,152.32.201.119,1,2,2,1,1,1,2.165,2.165,0
tls,78.128.114.38,1,2,2,1,1,1,2.165,2.165,0
tls,45.156.129.82,1,2,2,1,1,1,2.165,2.165,0
tls,34.219.83.25,1,2,2,1,1,1,2.165,2.165,0
tls,10.0.7.2,14,17,2,1,1,1,2.145,0.5242857142857142,0
tls,66.132.153.135,2,11,10,1,1,1,2.145,1.3599999999999999,0
tls,45.58.127.135,5,5,1,1,1,1,2.145,0.745,0
tls,213.209.157.162,4,4,1,1,1,2,2.145,1.27,0
tls,164.92.66.210,2,3,2,1,1,1,2.145,1.28,0
tls,150.255.101.194,2,2,1,1,1,1,2.145,1.27,0
tls,209.38.201.154,2,2,1,1,1,1,2.145,1.27,0
tls,78.153.140.178,2,2,1,1,1,1,2.145,1.27,0
tls,45.79.67.140,1,1,1,1,1,1,2.145,2.145,0
tls,185.242.226.71,1,6,6,1,6,0,1.745,1.745,0
tls,165.154.11.149,2,37,36,1,1,0,1.095,0.745,0
tls,118.193.35.29,1,30,30,1,1,0,0.975,0.975,0
tls,185.242.226.73,6,8,3,1,3,0,0.935,0.48500000000000004,0
tls,185.242.226.126,2,4,3,1,3,0,0.935,0.665,0
tls,185.242.226.61,1,3,3,1,3,0,0.935,0.935,0
tls,64.226.91.151,1,22,22,1,1,0,0.815,0.815,0
tls,86.54.31.42,1,21,21,1,1,0,0.7949999999999999,0.7949999999999999,0
tls,172.236.228.193,1,4,4,1,2,0,0.7050000000000001,0.7050000000000001,0
tls,31.14.32.5,2,22,16,1,1,0,0.6950000000000001,0.595,0
tls,3.143.33.63,14,19,3,1,2,0,0.685,0.42000000000000004,0
tls,45.79.181.223,2,3,2,1,2,0,0.665,0.53,0
tls,44.202.231.158,1,2,2,1,2,0,0.665,0.665,0
tls,143.198.161.79,4,17,12,1,1,0,0.615,0.46,0
tls,128.1.131.97,1,12,12,1,1,0,0.615,0.615,0
tls,91.134.73.230,1,11,11,1,1,0,0.595,0.595,0
tls,152.32.239.5,1,9,9,1,1,0,0.5549999999999999,0.5549999999999999,0
tls,165.232.67.168,4,14,8,1,1,0,0.535,0.445,0
tls,45.135.232.87,34,126,6,1,1,0,0.495,0.4491176470588235,0
tls,45.135.232.194,35,118,6,1,1,0,0.495,0.4424285714285714,0
tls,137.184.61.97,2,8,6,1,1,0,0.495,0.455,0
tls,139.59.248.22,2,8,6,1,1,0,0.495,0.455,0
tls,62.164.177.72,1,6,6,1,1,0,0.495,0.495,0
tls,45.156.129.81,1,6,6,1,1,0,0.495,0.495,0
tls,162.142.125.215,1,5,5,1,1,0,0.475,0.475,0
tls,3.149.59.26,8,13,3,1,1,0,0.435,0.40750000000000003,0
tls,62.164.177.69,3,6,3,1,1,0,0.435,0.41500000000000004,0
tls,88.214.50.122,2,6,3,1,1,0,0.435,0.435,0
tls,85.208.84.90,2,6,3,1,1,0,0.435,0.435,0
tls,184.105.247.196,2,5,3,1,1,0,0.435,0.42500000000000004,0
tls,170.64.177.80,2,4,3,1,1,0,0.435,0.41500000000000004,0
tls,149.50.96.133,2,4,3,1,1,0,0.435,0.41500000000000004,0
tls,66.240.236.116,1,3,3,1,1,0,0.435,0.435,0
tls,20.169.85.114,1,3,3,1,1,0,0.435,0.435,0
tls,147.185.133.17,1,3,3,1,1,0,0.435,0.435,0
tls,45.156.129.62,1,3,3,1,1,0,0.435,0.435,0
tls,74.249.192.232,1,3,3,1,1,0,0.435,0.435,0
tls,138.197.179.135,1,3,3,1,1,0,0.435,0.435,0
tls,8.211.162.45,1,3,3,1,1,0,0.435,0.435,0
tls,162.142.125.32,1,3,3,1,1,0,0.435,0.435,0
tls,80.94.95.248,8,16,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,3.130.96.91,9,12,2,1,1,0,0.41500000000000004,0.40166666666666667,0
tls,45.82.78.100,4,8,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,45.82.78.105,3,6,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,147.185.133.7,3,6,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,79.124.40.174,4,5,2,1,1,0,0.41500000000000004,0.4,0
tls,172.105.128.11,3,5,2,1,1,0,0.41500000000000004,0.4083333333333334,0
tls,65.49.1.172,4,5,2,1,1,0,0.41500000000000004,0.4,0
tls,144.202.82.88,4,5,2,1,1,0,0.41500000000000004,0.4,0
tls,162.216.149.22,2,4,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,198.235.24.90,2,4,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,172.236.228.222,2,4,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,172.236.228.229,2,4,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,162.216.150.121,2,4,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,35.203.210.240,2,4,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,162.216.149.198,2,4,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,147.185.133.158,2,4,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,147.185.133.104,2,4,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,35.203.210.190,2,4,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,162.216.150.93,3,4,2,1,1,0,0.41500000000000004,0.40166666666666667,0
tls,35.203.210.135,2,4,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,45.79.172.21,2,3,2,1,1,0,0.41500000000000004,0.405,0
tls,62.164.177.165,2,3,2,1,1,0,0.41500000000000004,0.405,0
tls,45.33.80.243,2,3,2,1,1,0,0.41500000000000004,0.405,0
tls,65.49.1.232,2,3,2,1,1,0,0.41500000000000004,0.405,0
tls,45.79.181.179,2,3,2,1,1,0,0.41500000000000004,0.405,0
tls,45.156.129.75,2,3,2,1,1,0,0.41500000000000004,0.405,0
tls,52.180.146.167,2,3,2,1,1,0,0.41500000000000004,0.405,0
tls,94.26.88.18,2,3,2,1,1,0,0.41500000000000004,0.405,0
tls,147.185.133.73,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,162.216.150.147,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,46.101.133.223,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,138.68.68.245,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,198.235.24.116,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,162.216.150.18,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,147.185.133.112,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,147.185.132.90,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,162.216.150.131,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,147.185.133.115,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,147.185.133.66,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,205.210.31.107,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,172.104.11.46,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,46.101.248.177,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,35.203.210.15,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,205.210.31.236,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,147.185.132.86,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,198.235.24.236,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,35.203.211.168,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,147.185.133.15,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,35.203.210.193,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,162.216.149.141,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,147.185.132.141,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,198.235.24.37,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,198.235.24.87,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,205.210.31.73,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,205.210.31.235,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,35.203.210.97,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,205.210.31.181,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,198.235.24.212,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,147.185.132.144,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
tls,205.210.31.178,1,2,2,1,1,0,0.41500000000000004,0.41500000000000004,0
