durasi,byte_masuk,byte_keluar,jumlah_paket,serangan
1.084,693,688,14,0
3.857,907,1028,19,1
3.303,169,409,14,0
7.762,1527,426,35,1
2.528,501,592,43,0
7.67,52,830,30,1
1.756,606,8,22,0
5.183,1116,880,22,1
1.291,952,450,18,0
5.502,716,282,31,1
-0.201,1052,240,19,0
3.134,866,1046,22,1
4.785,968,261,19,0
7.193,854,624,33,1
5.003,667,184,13,0
6.082,790,332,32,1
2.651,943,1028,20,0
3.62,1251,274,31,1
1.093,734,850,3,0
8.021,817,677,48,1
1.956,179,271,17,0
8.511,1024,841,30,1
2.279,701,595,8,0
5.533,1150,341,20,1
3.328,467,237,7,0
4.386,753,1096,36,1
3.479,77,121,18,0
5.861,1569,1542,25,1
5.051,940,1081,11,0
4.932,1459,1079,20,1
3.755,713,674,16,0
3.842,1586,1303,32,1
2.53,968,1128,33,0
5.813,975,632,29,1
1.034,421,874,21,0
5.929,1103,399,25,1
3.031,493,450,0,0
2.742,1045,202,28,1
3.889,436,323,22,0
5.003,1426,920,41,1
1.449,881,442,27,0
6.324,603,1185,14,1
6.148,511,412,10,0
6.895,763,1221,28,1
1.071,541,459,16,0
3.553,1007,1005,37,1
2.305,649,535,40,0
4.421,655,916,24,1
1.713,689,729,11,0
5.461,1265,405,40,1
2.758,728,653,19,0
4.677,764,1206,27,1
1.177,408,88,4,0
5.882,1498,1560,28,1
4.558,329,864,13,0
3.884,1559,889,31,1
2.008,1481,647,13,0
4.051,1777,684,28,1
2.862,546,489,14,0
4.094,1517,909,28,1
2.027,947,621,27,0
6.914,1433,580,12,1
2.021,848,639,19,0
4.259,1183,664,50,1
4.083,356,151,0,0
5.284,1601,957,22,1
7.413,763,181,22,0
7.872,591,1201,25,1
4.109,629,731,10,0
4.058,1502,625,27,1
2.097,599,479,14,0
8.292,970,1187,18,1
2.569,597,261,28,0
5.114,21,1158,31,1
1.187,493,882,15,0
3.213,1102,1145,39,1
2.842,413,593,20,0
5.721,964,850,41,1
4.02,664,599,16,0
3.836,1192,1196,12,1
3.979,696,412,17,0
7.221,1723,332,28,1
4.55,703,458,22,0
4.859,1043,1293,29,1
2.771,389,278,9,0
6.185,1062,390,28,1
0.958,816,1052,25,0
4.117,1159,954,24,1
1.565,688,1001,10,0
4.682,1264,1023,24,1
1.366,1158,143,26,0
6.991,1585,863,26,1
3.72,458,776,9,0
4.683,982,1329,28,1
2.522,1041,548,19,0
4.834,892,657,12,1
5.27,52,413,8,0
4.642,1379,1376,23,1
4.363,1061,732,41,0
5.821,791,1159,25,1
5.653,1309,1091,24,0
3.448,1042,528,30,1
2.295,327,734,18,0
5.841,1500,805,27,1
0.7,491,439,7,0
5.282,1480,1143,43,1
6.506,648,450,11,0
4.537,997,1375,18,1
5.165,1154,1033,24,0
5.905,1392,1116,22,1
4.551,809,1041,23,0
4.371,653,846,40,1
1.058,676,480,25,0
7.511,2021,1071,26,1
6.066,489,307,16,0
4.64,1008,749,31,1
1.106,636,661,11,0
3.458,1179,1093,23,1
1.278,977,432,16,0
8.064,1084,1324,42,1
5.199,877,1117,21,0
6.045,1377,677,28,1
3.206,797,668,22,0
3.493,1175,1158,31,1
1.273,604,596,12,0
5.399,1060,1083,30,1
2.176,137,577,33,0
6.562,1699,667,34,1
3.546,900,803,16,0
7.173,1132,426,38,1
5.21,611,78,25,0
8.36,1521,939,26,1
2.51,264,700,22,0
6.948,1872,1024,30,1
0.886,131,660,10,0
7.438,1173,1385,19,1
4.839,1133,138,9,0
3.834,879,1355,24,1
2.926,1184,331,20,0
3.558,1087,1146,34,1
4.985,1084,1291,25,0
4.222,818,620,33,1
6.189,1047,1053,32,0
5.367,2004,949,27,1
6.012,1263,994,9,0
4.112,1201,1315,22,1
-0.096,645,296,23,0
2.964,1356,609,24,1
6.839,779,540,19,0
6.256,1333,715,29,1
2.966,626,308,11,0
6.604,1363,974,34,1
2.357,786,1316,34,0
6.558,1157,907,46,1
3.573,629,926,35,0
7.078,667,355,23,1
6.957,879,1057,16,0
1.787,1077,1573,25,1
0.507,9,725,19,0
5.465,1188,883,28,1
5.24,915,238,14,0
3.688,1056,1213,33,1
1.838,753,894,18,0
5.044,971,981,41,1
2.327,921,489,13,0
4.016,1590,1436,46,1
3.539,114,144,20,0
4.678,1486,962,30,1
4.835,619,261,23,0
3.872,1564,584,23,1
2.14,867,450,30,0
4.248,1038,161,25,1
2.781,195,411,14,0
7.543,993,508,30,1
4.537,1016,485,26,0
4.242,1241,1198,40,1
4.886,1074,1110,22,0
4.539,1318,1008,16,1
2.985,1224,387,22,0
6.584,1533,1153,31,1
2.37,174,104,28,0
5.873,1277,644,38,1
1.253,972,477,28,0
4.987,872,1147,27,1
5.168,803,661,23,0
3.981,981,701,37,1
